,gid,Level,Current Status,Location,IntakeDate,Level Reason,Special Intake Information,HW,Sex,Animal ID,Microchip ID,Rabies Revaccination Date,Weight,Hold,Age,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed,parent gid,parent completed
41,1211856637547126,L1,Available,Dogs 088 A2,,L1,,-,M,A0059600554,,,51,,07 year(s) 00 month(s) 15 day(s),,,,,,,,,,,,,,,,,,,False,1211645084111680,False
42,1211892466861162,L1,Available,Dogs 081 B9,,L1,,-,M,A0059433997,,,39,,00 year(s) 09 month(s) 15 day(s),,,,,,,,,,,,,,,,,,,False,1211484069555772,False
43,1211869172263814,L1,Priority,Dogs 081 A9,,L1,,-,F,A0059450574,,,60,,05 year(s) 01 month(s) 11 day(s),,,,,,,,,,,,,,,,,,,False,1211504330155390,False
44,1211892096289636,L1,Priority,Dogs 067 A1,,L1,,+,F,A0059604042,,,60,,09 year(s) 00 month(s) 26 day(s),,,,,,,,,,,,,,,,,,,False,1211645231184597,False
45,1211891995004330,L2,Available,Dogs 079 A2,,L2-SF,,+,N,A0059597000,,,61,,04 year(s) 00 month(s) 26 day(s),,,,,,,,,,,,,,,,,,,False,1211656258657030,False
46,1211797858125529,L2,Available,Dogs 081 A4,,L2 -BR/RG,,-,F,A0058872755,,,55,,02 year(s) 04 month(s) 00 day(s),,,,,,,,,,,,,,,,,,,False,1210758502923704,False
47,1211841566430227,L1,Available,Dogs 081 A2,,L1,,-,F,A0059619167,,,45,,03 year(s) 00 month(s) 24 day(s),,,,,,,,,,,,,,,,,,,False,1211678052018465,False
48,1211889243296655,L2,Available,Dogs 066 A5,,L2-SF,,-,N,A0059628286,,,44,,01 year(s) 00 month(s) 22 day(s),,,,,,,,,,,,,,,,,,,False,1211688244384000,False
49,1211903446467982,L1,Priority,Dogs 079 B6,,L1,,-,N,A0059628706,,,70,,02 year(s) 00 month(s) 22 day(s),,,,,,,,,,,,,,,,,,,False,1211688129937324,False
50,1211892643384011,L2,Priority,Dogs 079 B3,,L2-SF A853096,,-,N,A0053591188,,,58,,09 year(s) 06 month(s) 24 day(s),,,,,,,,,,,,,,,,,,,False,1211701877053828,False
51,1211881700279670,L1,Available,Dogs 068 B4,,L1,,-,M,A0059635840,,,43,,01 year(s) 00 month(s) 20 day(s),,,,,,,,,,,,,,,,,,,False,1211713226057190,False
52,1211893343677572,L1,Available,Dogs 067 B4,,L1,,-,F,A0059665510,,,39,,00 year(s) 11 month(s) 17 day(s),,,,,,,,,,,,,,,,,,,False,1211747155014791,False
53,1211892817539216,L1,Available,Dogs 081 A7,,L1,,-,S,A0059668887,,,37,,04 year(s) 00 month(s) 16 day(s),,,,,,,,,,,,,,,,,,,False,1211746760537086,False
54,1211893441944274,L2,Priority,Dogs 081 B6,,L2-BR,,-,S,A0058243272,,,54,,01 year(s) 02 month(s) 06 day(s),,,,,,,,,,,,,,,,,,,False,1209903614291140,False
55,1211842994855354,L2,Available,Dogs 066 B5,,L2 - BH,,-,F,A0059668396,,,34,,08 year(s) 00 month(s) 16 day(s),,,,,,,,,,,,,,,,,,,False,1211748962046384,False
56,1211892327159751,L1,Available,Dogs 064 A2,,L1,,-,M,A0059620845,,,80,,07 year(s) 00 month(s) 14 day(s),,,,,,,,,,,,,,,,,,,False,1211678143714071,False
57,1211892078867689,L2,Available,Dogs 064 A3,,L2-SF,,-,S,A0053627316,,,45,,05 year(s) 00 month(s) 06 day(s),,,,,,,,,,,,,,,,,,,False,1202253749044074,False
58,1211892095551266,L2,Available,Dogs 067 A4,,L2-SF,,-,M,A0059673340,,,35,,00 year(s) 10 month(s) 15 day(s),,,,,,,,,,,,,,,,,,,False,1211749444365937,False
59,1211842093986311,L1,Available,Dogs 068 B5,,L1,,-,N,A0059675191,,,38,,00 year(s) 10 month(s) 12 day(s),,,,,,,,,,,,,,,,,,,False,1211748962182110,False
60,1211893064589272,L1,Available,Dogs 067 A5,,L1,,-,N,A0059673908,,,39,,01 year(s) 00 month(s) 15 day(s),,,,,,,,,,,,,,,,,,,False,1211749444365491,False
61,1211892914961326,L3,Available,Dogs 068 A1,,L3 - SF,,-,N,A0059680066,,,32,,00 year(s) 11 month(s) 13 day(s),,,,,,,,,,,,,,,,,,,False,1211764840170781,False
62,1211892474971461,L2,Available,Dogs 088 A10,,L2-BR,,-,F,A0059375029,,,58,,03 year(s) 01 month(s) 25 day(s),,,,,,,,,,,,,,,,,,,False,1211391934598475,False
63,1211817235939413,L1,Priority,Dogs 088 B10,,L1,,-,S,A0058337943,,,79,,05 year(s) 06 month(s) 05 day(s),,,,,,,,,,,,,,,,,,,False,1210029782703289,False
64,1211893553470769,L1,Available,Dogs 068 B3,,L1,,-,S,A0059349510,,,32,,00 year(s) 09 month(s) 28 day(s),,,,,,,,,,,,,,,,,,,False,1211349544161994,False
65,1211852094477609,L2,Available,Dogs 079 A4,,L2-SF,,-,F,A0059692803,,,47,,02 year(s) 00 month(s) 12 day(s),,,,,,,,,,,,,,,,,,,False,1211779401565198,False
66,1211881591757860,L3,Adopted,Dogs 081 A5,,L3-SF,,-,S,A0059691524,,,44,,00 year(s) 10 month(s) 12 day(s),,,,,,,,,,,,,,,,,,,False,1211779618517136,False
67,1211870587266256,L1,Available,Dogs 067 C1,,L1,,-,F,A0059693287,,,34,,02 year(s) 00 month(s) 12 day(s),,,,,,,,,,,,,,,,,,,False,1211790442937358,False
68,1211889320797965,L2,Priority,Dogs 068 A3,,L2-SF,,-,M,A0059585503,,,52,,01 year(s) 00 month(s) 29 day(s),,,,,,,,,,,,,,,,,,,False,1211618121910019,False
69,1211790507496187,L1,Available,Dogs 081 A5,,L1,,-,F,A0059699721,,,30,,01 year(s) 06 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211790507450648,False
70,1211842129450375,L1,Available,Dogs 064 A1,,L1,,+,M,A0059696765,,,58,,02 year(s) 00 month(s) 11 day(s),,,,,,,,,,,,,,,,,,,False,1211801412235374,False
71,1211814554103705,L1,Available,Dogs 066 B4,,L1,,-,F,A0059583638,,,46,,01 year(s) 00 month(s) 30 day(s),,,,,,,,,,,,,,,,,,,False,1211615768729203,False
72,1211892186852577,L2,Available,Dogs 079 A6,,L2 - SF,,-,S,A0059704873,,,55,,01 year(s) 00 month(s) 08 day(s),,,,,,,,,,,,,,,,,,,False,1211801537469323,False
73,1211892970033148,L1,Priority,Dogs 079 B1,,L1,,-,S,A0059321101,,,39,,08 year(s) 01 month(s) 13 day(s),,,,,,,,,,,,,,,,,,,False,1211298559400101,False
74,1211889243398292,L1,Available,Dogs 067 B2,,L1,,-,F,A0059711058,,,38,,00 year(s) 09 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211810270002218,False
75,1211888908173738,L1,Available,Dogs 067 A2,,L1,,+,F,A0059711197,,,33,,01 year(s) 00 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211810405726050,False
76,1211892023756255,L1,Available,Dogs 088 B4,,L1,,-,N,A0059711144,,,43,,01 year(s) 00 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211810268693183,False
77,1211892350956533,L1,Available,Dogs 088 A9,,L1,,-,M,A0059716194,,,69,,03 year(s) 00 month(s) 08 day(s),,,,,,,,,,,,,,,,,,,False,1211814499965288,False
78,1211843775530793,L3,Available,Dogs 068 C1,,L3-BR/H/SD,,-,N,A0056241225,,,10,,07 year(s) 00 month(s) 24 day(s),,,,,,,,,,,,,,,,,,,False,1207663117567497,False
79,1211892638836187,L1,Available,Dogs 081 B10,,L1,,+,S,A0059691547,,,59,,02 year(s) 00 month(s) 07 day(s),,,,,,,,,,,,,,,,,,,False,1211779618993412,False
80,1211816121837475,L1,Available,Dogs 081 A10,,L1,,-,F,A0059354109,,,43,,01 year(s) 01 month(s) 27 day(s),,,,,,,,,,,,,,,,,,,False,1211351805840645,False
81,1211849587643275,L1,Available,Dogs 088 B7,,L1,,-,M,A0059684836,,,88,,01 year(s) 00 month(s) 10 day(s),,,,,,,,,,,,,,,,,,,False,1211801535523296,False
82,1211892532226376,L1,Available,Dogs 067 B3,,L1,,-,F,A0059712141,,,32,,00 year(s) 08 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211810405837486,False
83,1211889819353972,L2,Available,Dogs 067 A3,,L2-OA,,-,S,A0059379214,,,38,,01 year(s) 00 month(s) 22 day(s),,,,,,,,,,,,,,,,,,,False,1211391935719643,False
84,1211818621877530,L1,Microchip,Dogs 067 B1,,L1,,-,M,A0059719385,,,49,,00 year(s) 08 month(s) 08 day(s),,,,,,,,,,,,,,,,,,,False,1211818485482683,False
85,1211867375433227,L2,Available,Dogs 068 C2,,L2-SF,,-,M,A0059718847,,,28,,01 year(s) 00 month(s) 07 day(s),,,,,,,,,,,,,,,,,,,False,1211818484669971,False
86,1211892338350167,L2,Available,Dogs 081 A6,,L2-A,,-,M,A0059720932,,,49,,01 year(s) 00 month(s) 07 day(s),,,,,,,,,,,,,,,,,,,False,1211832255745566,False
87,1211892410181417,L1,Available,Dogs 066 B1,,L1,,-,F,A0059106772,,,44,,04 year(s) 02 month(s) 26 day(s),,,,,,,,,,,,,,,,,,,False,1211061446950593,False
88,1211881362280689,L1,Available,Dogs 081 B3,,L1,,-,S,A0055464936,,,47,,03 year(s) 02 month(s) 06 day(s),,,,,,,,,,,,,,,,,,,False,1206761790590998,False
89,1211814555238534,L1,Available,Dogs 088 B3,,L1,,-,S,A0059004088,,,45,,00 year(s) 08 month(s) 07 day(s),,,,,,,,,,,,,,,,,,,False,1210923864770238,False
90,1211892514218850,L1,Available,Dogs 068 A2,,L1,,-,S,A0059060141,,,36,,00 year(s) 11 month(s) 03 day(s),,,,,,,,,,,,,,,,,,,False,1210994060188453,False
91,1211892625027268,L1,Available,Dogs 066 A4,,L1,,-,S,A0055806684,,,44,,04 year(s) 06 month(s) 12 day(s),,,,,,,,,,,,,,,,,,,False,1207197691041181,False
92,1211832330052701,L1,Adopted,Dogs 064 C1,,L1,,-,M,A0059725661,,,27,,02 year(s) 00 month(s) 06 day(s),,,,,,,,,,,,,,,,,,,False,1211832219240097,False
93,1211832328551480,L1,Available,Dogs 079 A3,,L1,,+,M,A0059722482,,,61,,05 year(s) 00 month(s) 06 day(s),,,,,,,,,,,,,,,,,,,False,1211832256631881,False
94,1211881605653957,L1,Adopted,Dogs 064 B3,,L1,,-,F,A0059727277,,,35,,00 year(s) 11 month(s) 06 day(s),,,,,,,,,,,,,,,,,,,False,1211844623549617,False
95,1211892248755723,L1,Available,Dogs 081 B8,,L1,,-,S,A0054825870,,,63,,06 year(s) 11 month(s) 19 day(s),,,,,,,,,,,,,,,,,,,False,1206013388222708,False
96,1211844860052408,L2,Available,Dogs 088 B5,,L2-SF,,-,N,A0059731785,,,28,,00 year(s) 10 month(s) 05 day(s),,,,,,,,,,,,,,,,,,,False,1211844859984930,False
97,1211892359324667,L2,Available,Dogs 081 B1,,L2 - SA,,-,M,A0059728129,,,54,,03 year(s) 00 month(s) 05 day(s),,,,,,,,,,,,,,,,,,,False,1211844626200623,False
98,1211886063151542,L1,Available,Dogs 064 A1,,L1,,+,M,A0059696765,,,58,,02 year(s) 00 month(s) 11 day(s),,,,,,,,,,,,,,,,,,,False,1211801412235374,False
99,1211893020090679,L1,Adopted,Dogs 068 A4,,L1,,-,F,A0059723347,,,37,,00 year(s) 09 month(s) 06 day(s),,,,,,,,,,,,,,,,,,,False,1211832258577623,False
100,1211892114557400,L2,Available,Dogs 088 A4,,L2-SF,,-,M,A0059738616,,,38,,06 year(s) 00 month(s) 04 day(s),,,,,,,,,,,,,,,,,,,False,1211857313849992,False
101,1211892376034776,L1,Available,Dogs 081 A8,,L1,,-,F,A0059738610,,,48,,05 year(s) 00 month(s) 05 day(s),,,,,,,,,,,,,,,,,,,False,1211857439959174,False
102,1211868108067656,L3,Priority,Dogs 088 B2,,L3-OA,,-,N,A0059646514,,,80,,05 year(s) 00 month(s) 15 day(s),,,,,,,,,,,,,,,,,,,False,1211749137795837,False
103,1211872160619453,L2,Identifying Info,Dogs 088 A8,,L2-SF,,+,M,A0059739359,,,60,,03 year(s) 00 month(s) 05 day(s),,,,,,,,,,,,,,,,,,,False,1211871616755997,False
104,1211888855207695,L1,Adopted,Dogs 067 C2,,L1,,-,F,A0059725684,,,23,,01 year(s) 00 month(s) 06 day(s),,,,,,,,,,,,,,,,,,,False,1211832330929595,False
105,1211889319358827,L1,Stray Wait,Dogs 066 A1,,L1,,-,M,A0059748554,,,41,,00 year(s) 09 month(s) 03 day(s),,,,,,,,,,,,,,,,,,,False,1211871756038828,False
106,1211892849486826,L1,Available,Dogs 081 B5,,L1,,-,N,A0059549390,,,38,,00 year(s) 10 month(s) 03 day(s),,,,,,,,,,,,,,,,,,,False,1211572645221137,False
107,1211893340613087,L1,Available,Dogs 066 B3,,L1,,-,N,A0059258383,,,55,,01 year(s) 01 month(s) 12 day(s),,,,,,,,,,,,,,,,,,,False,1211179519012045,False
108,1211889198535936,L1,Stray Wait,Dogs 066 A3,,L1,,-,F,A0059749381,,,34,,00 year(s) 07 month(s) 03 day(s),,,,,,,,,,,,,,,,,,,False,1211886364781485,False
109,1211889236709197,L1,Priority,Dogs 066 B2,,L1,,-,M,A0059253890,,,34,,00 year(s) 08 month(s) 13 day(s),,,,,,,,,,,,,,,,,,,False,1211179456537322,False
110,1211900229650611,L1,Stray Wait,Dogs 079 A1,,L1,,-,F,A0059737715,,,57,,10 year(s) 00 month(s) 04 day(s),,,,,,,,,,,,,,,,,,,False,1211857439729419,False
111,1211886061420253,L1,Pending Medical Assessment/Treatment,Dogs 064 B4,,L1,,-,M,A0059750220,,,43,,02 year(s) 00 month(s) 02 day(s),,,,,,,,,,,,,,,,,,,False,1211886363570727,False
112,1211886365196359,L1,Stray Wait,Dogs 088 B9,,L1,,-,M,A0059744474,,,60,,01 year(s) 00 month(s) 03 day(s),,,,,,,,,,,,,,,,,,,False,1211886060308527,False
113,1211886618698063,L1,Available,Dogs 066 A2,,L1,,-,F,A0059464841,,,41,,00 year(s) 11 month(s) 08 day(s),,,,,,,,,,,,,,,,,,,False,1211528918757059,False
114,1211904048721152,L1,Available,Dogs 068 B1,,L1,,+,S,A0058903285,,,44,,00 year(s) 11 month(s) 27 day(s),,,,,,,,,,,,,,,,,,,False,1210796436277702,False
115,1211892127087702,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210019003125744,False
116,1211889121881282,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211615711789076,False
117,1211809461392274,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211486823738336,False
118,1211870768930839,L2,Available,Dogs 603 A3,,L2-LR,,+,N,A0059367483,,,41,,01 year(s) 07 month(s) 22 day(s),,,,,,,,,,,,,,,,,,,False,1211380107403862,False
119,1211812215239442,L2,Available,Dogs 603 B6,,L2-LR,,-,S,A0059380817,,,71,,03 year(s) 01 month(s) 22 day(s),,,,,,,,,,,,,,,,,,,False,1211391933762451,False
120,1211750785701369,L1,Available,Dogs 603 B1,,L1,,-,M,A0059411344,,,61,,03 year(s) 01 month(s) 04 day(s),,,,,,,,,,,,,,,,,,,False,1211449300105055,False
121,1211888377385910,L2,Priority,Dogs 602 6,,L2-A,,+,M,A0059422620,,,48,,03 year(s) 01 month(s) 16 day(s),,,,,,,,,,,,,,,,,,,False,1211462776095496,False
122,1211892808814440,L1,Available,Dogs 603 B2,,L1,,-,F,A0059452543,,,41,,03 year(s) 01 month(s) 11 day(s),,,Walks politely on leash,,,,,,,1 - Low energy,,,,,,,,,False,1211517881770413,False
123,1211809640137121,L2,Priority,Dogs 606 A2,,L2-OA,,-,N,A0054163188,,,64,,02 year(s) 05 month(s) 25 day(s),,,,,,,,,,,,,,,,,,,False,1205511210979745,False
124,1211888449397072,L2,Priority,Dogs 602 1,,L2-SF,,-,M,A0059599608,,,62,,07 year(s) 00 month(s) 25 day(s),,,,,,,,,,,,,,,,,,,False,1211656414728480,False
125,1211812253075319,L1,Cruelty Exam,Dogs 602 4,,L1,,-,F,A0059640302,,,55,,03 year(s) 00 month(s) 20 day(s),,,,,,,,,,,,,,,,,,,False,1211713226720210,False
126,1211830608632093,L1,Priority,Dogs 606 B3,,L1,,-,F,A0059437600,,,52,,06 year(s) 01 month(s) 14 day(s),,,,,,,,,,,,,,,,,,,False,1211484069662238,False
127,1211809561028052,L2,Available,Dogs 601 2,,L2 BR/OA,,-,M,A0059452523,,,47,,05 year(s) 00 month(s) 28 day(s),,,,,,,,,,,,,,,,,,,False,1211518050767821,False
128,1211889244259993,L3,Priority,Dogs 606 A7,,L3-SF,,-,M,A0059658078,,,49,,01 year(s) 06 month(s) 17 day(s),,,,,,,,,,,,,,,,,,,False,1211737870301828,False
129,1211892379431345,L1,Available,Dogs 606 A3,,L1,,-,F,A0059657422,,,68,,06 year(s) 00 month(s) 18 day(s),,,,,,,,,,,,,,,,,,,False,1211737990451041,False
130,1211892876955448,L3,Priority,Dogs 606 B6,,L3-SF,,-,F,A0059661981,,,41,,01 year(s) 00 month(s) 17 day(s),,,,,,,,,,,,,,,,,,,False,1211737870455983,False
131,1211892338495865,L1,Available,Dogs 606 A6,,L1,,-,S,A0059546101,,,56,,07 year(s) 00 month(s) 08 day(s),,,,,,,,,,,,,,,,,,,False,1211615713450370,False
132,1211748104239078,L1,Available,Dogs 601 7,,L1,,-,M,A0059398528,,,39,,01 year(s) 07 month(s) 18 day(s),,,,,,,,,,,,,,,,,,,False,1211417859342253,False
133,1211892034417242,L1,Available,Dogs 602 3,,L1,,-,M,A0059604577,,,66,,02 year(s) 00 month(s) 26 day(s),,,,,,,,,,,,,,,,,,,False,1211645084349206,False
134,1211882211173739,L3,Available,Dogs 603 B1,,L3-SF,,-,F,A0059683353,,,70,,05 year(s) 00 month(s) 13 day(s),,,,,,,,,,,,,,,,,,,False,1211764962647415,False
135,1211799243938444,L3,Priority,Dogs 603 B3,,L3-BH,,-,M,A0059627212,,,60,,03 year(s) 10 month(s) 18 day(s),,,,,,,,,,,,,,,,,,,False,1211678143250706,False
136,1211893078258026,L1,Available,Dogs 606 A5,,L1,,-,M,A0059684286,,,75,,03 year(s) 00 month(s) 13 day(s),,,,,,,,,,,,,,,,,,,False,1211764842427772,False
137,1211892858514870,L1,Available,Dogs 603 A4,,L1,,+,F,A0059684070,,,52,,06 year(s) 00 month(s) 12 day(s),,,,,,,,,,,,,,,,,,,False,1211779619211774,False
138,1211892181102502,L1,Priority,Dogs 603 A1,,L1,,-,F,A0059696618,,,53,,02 year(s) 00 month(s) 11 day(s),,,,,,,,,,,,,,,,,,,False,1211790449643284,False
139,1211889071938635,L1,Available,Dogs 606 B4,,L1,,-,M,A0059696563,,,48,,01 year(s) 06 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211790368111017,False
140,1211790370116561,L2,Available,Dogs 603 A2,,L2-SF,,-,F,A0059697104,,,60,,02 year(s) 00 month(s) 11 day(s),,,,,,,,,,,,,,,,,,,False,1211790432013634,False
141,1211888473261122,L1,Available,Dogs 602 C4,,L1,,-,F,A0059713874,,,33,,00 year(s) 08 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211810406271285,False
142,1211843268400396,L1,Available,Dogs 606 B1,,L1,,-,M,A0059711167,,,42,,02 year(s) 00 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211810323966883,False
143,1211888858590979,L1,Adopted,Dogs 602 C6,,L1-A874462,,-,N,A0053612292,,,5,,08 year(s) 04 month(s) 16 day(s),,,,,,,,,,,,,,,,,,,False,1211814622019055,False
