,BehaviorTest,Animal #,Notes,TestCategory,Date,Time
25,Write Up,A0053604168,"1/26/2024 Went to go meet Mr peabody and observed snarling and growing at kennel door. He was showing teeth and lunging. I grabbed my treat bag and he stopped growling and looked curious so i passed him a few treats. He calmed down enough to where i felt comfortable taking him out. When i pulled my leash out he wagged his tail and loosened up. Didn’t observe any BR. we went outside in a play yard where you couldn’t see any other dogs. He sniffed for about 5 minutes and then i tried petting him, his body stiffened so i stopped petting and decided to put him back. When we got back to his kennel he walked in and had his ears back so i was careful taking off the leash. ",Staff Observation,1/26/2024,09:51 AM
26,General Information,A0055170623,"1/27/2024 The person that took her out of the car let me put the leash on her & he put her down. She started flipping out & going around my legs in circles & choking herself with the leash. Had to pick her up for her to stop. Put her down again & she did the same thing, then picked her up again & had to carry her inside to the run. -JP",Staff Observation,1/27/2024,09:56 AM
27,Focus Group,A0053626387,"1/30/2024 Easily leashed, hackles rose when going through doorways. Once in the pasture, he quickly became very comfortable, leaning in for pets to several strangers and showing of his tricks, he knows sit and paw. He stayed very close to his people on a long leash.  He's very skinny, seems to have lost weight since intake, very stressed in his kennel, paws were soaking wet. Very sweet boy!",Staff Observation,1/30/2024,01:39 PM
28,Daily Observations,A0054577049,2/2/2024 Terrible kennel presence. Growling with hackles up and wide eyed in kennel. Very sweet outside of kennel. ,Staff Observation,2/2/2024,12:37 PM
29,Daily Observations,A0053626387,2/2/2024 Severe kennel stress and frustration. urgent ,Staff Observation,2/2/2024,01:55 PM
30,Write Up,A0055135794,"2/8/2024 Spanky was exhibiting extreme leash biting and jumping when trying to leash on Tuesday night and too difficult for me being L1 to leash. I believe Trish was going to address, but wanted to submit a report as well. He might need to be leveled up to L2. As a new volunteer, he was very difficult to get out of shoreline and leashed and released. Multiple kennel tech staff had to help and Trish had to use two leashes and try multiple times to get him releashed in the play yard to put back in his shoreline.  It did not appear to be aggression at all towards humans just biting at the leash and not wanting to be leashed. I know we’re overcrowded but his top shoreline is probably not helping him. Can he be on the list to be moved to a larger shoreline or kennel as soon as one becomes available? He barely fits in his current shoreline. He behaved fine in the play yards. I’m sure a lot of it is that he is not getting enough exercise or mental stimulation. Thanks for anything that can be done to help him! ",In Shelter Volunteer Observation,2/8/2024,06:22 PM
31,Daily Observations,A0055135794,2/10/2024 Took Spanky out for an interested foster. I had to lift him out; once his feet hit the ground he was jumpy and leash biting. I had a toy that I had to use a couple of times to trade out so I could get him to release.  The potential foster thought he had to much energy.  I was able to pick him up and put him back in his shoreline. He's definitely L2 OA/LB.,In Shelter Volunteer Observation,2/10/2024,10:13 PM
32,Write Up,A0053911720,2/11/2024 Might be a good candidate for a dog test. Happy tail wags and playful interest in other dogs through the fence in the play yard and while out for a walk. Good sniffs through the fence with 2 other dogs. ,In Shelter Volunteer Observation,2/11/2024,02:07 PM
33,Intake,A0055265231,2/13/2024 easily handled in intake kennel & during exam,Staff Observation,2/13/2024,12:57 PM
34,in Person Session,A0055062948,"2/15/2024 Met Mystic and foster in home.  Mystic stayed in crate initially. As we talked, we didn’t look at her.  She eventually came out.  I tossed some treats to her.  She sniffed, didn’t eat them.  Took a couple steps and eventually went back in crate. Foster reported that she may snarl a bit at resident dog if he went near her crate.  Suggested they try a leashed meeting outside in the evening.  They did leash resident dog and Mystic up in back yard.  Stayed about 30 feet apart.  Initially Mystic snarled. But then she stood there lip licking and yawning.  They kept the distance and ended on that note. Mystic needs a patient adopter or foster who can work with her but accepts it will be slow and you can’t push.  Foster didn’t have HW / flea preventives and will follow up with Pathways team on that and inquire about HW treatment.  I did ask Erica about rescue possibility. She felt would need to be treated for HW before a rescue might consider her.  Foster leaving town for a week at end of month and is exploring options while gone.  Also talking with husband on willingness to keep her longer through HW treatment ( or not). ",Trainer Notes,2/15/2024,03:48 PM
35,Intake,A0053635126,2/17/2024 easily handled in intake kennel & during exam,Staff Observation,2/17/2024,04:04 PM
36,Daily Observations,A0055135794,2/17/2024 Is there anyway Spanky can be next on the list to move to a kennel when space? He is in room 63 top shoreline which is all young nervous puppies and then him. He loud barks and jumps and shakes the entire shoreline whenever anyone walks into the room which terrifies all the young puppies in there. He is in too small of a shoreline for him and with his leash biting it’s difficult to be able to get him down from a top shoreline. Gave him a treat today to settle him so I could get posh back in shoreline next to him who was terrified by his reaction to us coming in.  He does listen when you say no and correct but poor guy is struggling in there and needs more attention and exercise,In Shelter Volunteer Observation,2/17/2024,10:14 PM
37,Focus Group,A0055170623,"2/20/2024 Unfamiliar with the leash, will dodge the lasso. We were able to leash her using treats. Scared to walk outside, go slow, she will get there. In the play yard we immediately dropped the leash. She was very submissive and affectionate, tail tucked, ears back, unsure of her surroundings. It didn't take long for her to realize she was safe. She accepted lots of treats and affection running back and forth between LR and SP leaning in for pets and giving kisses. SP and LR initiated play, she was a little startled and unsure for a split second, then realized it was play time! She has the cutest little zoomies and play bows. She enjoys running around with her people. Scared to walk on leash back inside, we went slow and she got there. Easily put a collar on her in hopes walking on leash will be less scary for her. Easily unleashed and re-kenneled. Very sweet!",Staff Observation,2/20/2024,09:26 AM
38,Write Up,A0054577049,"2/22/2024 JuicyJu was attempting to grab and play with a kennel specialist's leash, so adding LB to level. Also removing 'BR' based on observations recently of her no longer being barrier reactive.",Staff Observation,2/22/2024,03:56 PM
39,Intake,A0055406871,2/24/2024 easily handled during exam & in intake kennel,Staff Observation,2/24/2024,04:55 PM
40,Daily Observations,A0055135794,"2/24/2024 Spanky is a very sweet, smart boy who is just overaroused in that shoreline kennel. He bit at the leash as we walked and was jumpy once we got to the yard, but responded well to differential reinforcement - learned pretty quickly that “sit” and paws being on the ground meant getting treats, and the jumping and biting improved significantly! Once we went through some command training, he relaxed and loved being pet and having his belly rubbed, cutely falling onto his back. On the way back to the kennel, he continued to bite on the leash but we paused every few steps to practice “sit” + treat and, after several reps, he walked the rest of the way to the kennel without biting at the leash! He’s such a sweet and eager to please boy, who would benefit from extra attention and space. Put in a behavior report to see if he can be placed in a larger kennel and a med report for a nail trim.",In Shelter Volunteer Observation,2/24/2024,10:14 PM
41,Write Up,A0055135794,"2/25/2024 Poor guy really needs out of the shoreline he’s in and to be transferred to a bigger kennel. He’s OA and bites the leash when outside the kennel and, inside the kennel, appears very stressed (barking and shaking the shoreline). 6 month old puppy, Muffin, is in the shoreline under him (along with other puppies next to them) and appears frightened every time Spanky barks or shakes the shoreline. ",In Shelter Volunteer Observation,2/25/2024,10:05 AM
42,Daily Observations,A0055135794,"2/25/2024 Smart boy who knows sit and is very treat motivated. A little jumpy and exhibited some leash biting, but redirects easily with treats. Did much better during a walk when he knew treats were involved, but he did get a little jumpy a few times. Went back in his kennel easily and no body handling issues when picked up to put back in the top shoreline kennel.",In Shelter Volunteer Observation,2/25/2024,10:15 PM
43,Write Up,A0055135794,"2/26/2024 Mega leash biter !!! Cannot even walk him because it’s so bad, he will even accidentally get your hands trying to bite the leash. Just constantly on level 10!!!!!!  -Amber ",Staff Observation,2/26/2024,11:06 AM
44,Intake,A0055454653,"3/3/2024 growling, showing teeth in kennel. behavior during exam was had to use a catch pole for her shots but switched to a leash. very uncomfortable with handleing so stopped the exam she sat behind me on her own accord but didnt want to push it.",Staff Observation,3/3/2024,04:24 PM
45,Focus Group,A0055454653,"3/7/2024 First time out today she was nervous when leashing and retrieving. Timid walking through kennel to the play yard. In the play yard she mostly ignored us. Took the occasional treat and allowed for brief chin scratches. Easily unleashed and re-kenneled.We took her out a second time, she was very easily leashed and retrieved and had a loose body with tail wags. In the play yard she was more than happy to take treats and does so gently. Allowed for lots of pets leaning in for them and rolling on her back for belly rubs. Very sweet/shy girl. Easily unleashed and re-kenneled.  ",Staff Observation,3/7/2024,06:32 PM
46,Write Up,A0055454653,3/8/2024 Very wiggly and affectionate today.,Staff Observation,3/8/2024,06:58 PM
47,Daily Observations,A0055135794,"3/16/2024 3/16:  Sounds like Spanky had a tough few days, but seemed to be doing better today when Elizabeth and I took him out! Was easy to leash with a treat on the other side of the loop. Went a long route inside on our way out to the playyard and he started out biting and jumping at the leash pretty incessantly; stopped every few steps and asked him to “down” or “sit” and reinforced with a treat each time, and the rate of the biting and jumping decreased to off-and-on. Once in the playyard, he was easy to unleash and I wrapped our leashes around the top of the fence. He was excited and pretty jumpy. Continued command training - giving him a treat pretty much any time all four paws were on the ground or he was sitting - and again he caught on quickly! I was worried about him having too many treats and getting sick, so started intermittently using verbal praise and affection to reinforce and that seemed to work equally well by that point! Jumping decreased noticeably and he leaned against us for affection and belly rubs. By the end, he was able to approach me, while kneeling, a couple of times without jumping. Easy to releash with treat on the other side of the loop and, walking the same route back to his kennel, he jumped and bit at the leash only once - and let go immediately without any redirection!! The more he learns, the more of his sweet, smart, and eager to please self we get to see! Treats, praise, and affection go a long way with Spanky!",In Shelter Volunteer Observation,3/16/2024,10:39 PM
48,Intake,A0055538889,3/18/2024 FAIRLY CALM IN KENNEL SHOWS A LITTLE DOG REACTIVITYEASILY HANDLED THROUGHOUT INTAKE,Staff Observation,3/18/2024,11:55 PM
49,Daily Observations,A0055454653,"3/19/2024 I approached her in an outdoor kennel, she was barking. I offered her a treat through the fence and she sniffed it but didn't eat it, I tossed the treat next to her and she still didn't eat it. I then opened the kennel door and she began wagging her tail and sniffed my shoes. I got down low and she allowed me to leash her easily. She walked great on leash and seemed more comfortable the more she walked around. She sniffed many different dogs through the fence, had a high tail wag at first but got loose the more she sniffed. She allowed for lots of pets and even gave kisses on the face. I got on the floor with her and she went right between my legs and just wanted to be petted and gave more kisses.From: Lyndsey Davis",Staff Observation,3/19/2024,11:46 AM
50,Intake,A0055579826,3/23/2024 Easily handled ,Staff Observation,3/23/2024,11:48 AM
51,Intake,A0055529436,3/25/2024 Easily handled during intake and during exam.,Staff Observation,3/25/2024,12:36 PM
52,Intake,A0053603468,3/25/2024 no concerning behaviors in kenneleasily handled during intake,Staff Observation,3/25/2024,05:03 PM
53,Daily Observations,A0055265231,"3/26/2024 Extreme BR, lunged and growled this morning and Saturday morning during rounds. Easily handled out of kennel but presence is unsettling and forward",Staff Observation,3/26/2024,02:47 PM
54,Intake,A0053300757,3/28/2024 Calm in his kennel. Super sweet and easily handled during his intake exam.,Staff Observation,3/28/2024,12:08 PM
55,Daily Observations,A0055170623,"3/29/2024 Frantic barking and pacing/jumping, wide eyed and tapping her feet up and down in kennel. Written up for traz and added to priority ",Staff Observation,3/29/2024,10:06 AM
56,Intake,A0055612570,3/29/2024 easily handled in intake kennel & during exam,Staff Observation,3/29/2024,12:41 PM
57,Daily Observations,A0055170623,"4/2/2024 intense BR, pacing, wide eyed, salivating",Staff Observation,4/2/2024,01:24 PM
58,Intake,A0055649438,"4/4/2024 easily handled in intake kennel, barrier reactiveeasily handled during exam, but does not like to be vetted (go slow), startles easily, tense musclesheartworm test pending",Staff Observation,4/4/2024,03:02 PM
59,Daily Observations,A0055135794,"4/4/2024 4/04Yesterday, dropped off enrichment before taking him out. He fixated on the leash but managed to “sit” in his kennel and was easily leashed. Once out of the kennel, he tugged on it for a few minutes and then responded to redirection (“down” or “sit”) + treat + verbal praise! It only took a few reps for him to walk well on the leash the remainder of our time. Continued with intermittent reinforcement of good walking, adding in “find it” (dropping the treat on the floor) to keep it novel and fun.  In the play yard, we worked on “stay” (he’s a fast learner!) but he was mostly interested in affection. At one point when releashing him, he bit the leash but redirected immediately with “eh” + “sit” + treat and he didn’t bite it again. Walking on the trail, he was very easy on leash and enjoyed sniffing around.  I’ve detailed it in above notes but will list specific steps below and “pin” for easy reference. I spoke with his kennel tech, Benji, this past weekend and got an encouraging update yesterday that he’s been implementing and finding the techniques to be effective, which has made taking Spanky out much easier. Grateful for volunteer/staff collaboration and definitely seems to point to consistency being key!",In Shelter Volunteer Observation,4/4/2024,09:35 PM
60,Daily Observations,A0055135794,"4/4/2024 Spanky Training/Handling Tips:? Drop off enrichment to help him expend some mental energy if possible before taking him out. (Frozen enrichment can be found in the white freezer located in the back sally port)? Before opening the kennel, show him your treats and ask him to “sit” and then give him a treat when he sits. If he’s excited, it  may take a few asks before he responds. Then use the treat on the other side of the loop trick to get the leash on him.? Keep treats visible as you walk and throw them on the ground for him to “find it” until you get outside or he shifts his attention to his surroundings ? If he bites at the leash, continue walking while ignoring the behavior. If you are in a contained area, intersperse dropping the leash in response to any increase in tugging. As soon as there is a slight pause or decrease in intensity, redirect him with “down” and/or “sit” and then give him a treat with verbal praise. Repeat as needed.? Start walking again, a treat + praise or throwing treat for him to ""find it"" every few steps ? If he starts to bite again, correct him by saying “eh” and then reset his behavior with “down” or “sit” followed by treat + praise. Then resume walking ? Once biting stops, keep him engaged and reinforce good walking with intermittent treats thrown for him to find? When un/re-leashing, first ask him to “sit” first and then give him a treat.  ** If you try to pull the leash away from him, he will tug back. If you ignore, drop the leash (he's not a runner), and redirect him with a command, then he will drop the leash to fetch the treat! ** Continue asking him to ""find it"" until he is leading the walk and no longer looking at you. At this point, he'll be easy on leash ** Any time you need to adjust/tighten/handle the leash, ask him to do something and reward him right as you do it (this results in him focusing on what you want him to do vs. the leash you're adjusting)",In Shelter Volunteer Observation,4/4/2024,09:58 PM
61,Daily Observations,A0055135794,"4/5/2024 Spanky was in the courtyard when I arrived this morning so we skipped pre-enrichment. He was jumpy but sat and let me leash him, and redirected from leash biting quickly. He had fun throwing a toy around the play yard and then running after it. I kept the leash in my hand for most of play time and he did a great job ignoring it, needing redirection only once. He was more jumpy than usual, needing redirection with “down” throughout and treats whenever he kept his paws on the ground while approaching. Went to the staff room to find the pasture leash but decided against it d/t time. Went back into his kennel easily and was enjoying frozen enrichment as I left. I’m not sure if him seeming more OA has to do with him moving to ISO yesterday (d/t Malinois puppies arriving, nothing Spanky did) but was glad to hear that staff will continue to give him extra attention and enrichment.",In Shelter Volunteer Observation,4/5/2024,10:05 PM
62,Write Up,A0055170623,4/6/2024 written up for trazodone. frantic jumping and pacing at gate. kennel presence is awful. written up for trazodone,Staff Observation,4/6/2024,01:25 PM
63,Write Up,A0055265231,4/6/2024 terrible kennel presence still. lunging and growling at door and does not show well. needs help getting out. written up for traz,Staff Observation,4/6/2024,01:59 PM
64,Write Up,A0055265231,"4/6/2024 Revisited her with Katherine to evaluate her. She was tense with a tucked tail but we were able to get her out of the top shoreline without issue. I used a slip lead and clip leash on her just in case she got too nervous about being unleashed. In the play yard she was aloof at first and kept her tail tucked while she walked the perimeter of the yard, looking for an escape. After a few minutes of ignoring us and pacing the fence line I took her for a walk around the parking lot. She was anxious the whole time, kept tail tucked and ears alert. I squatted down beside her once we stopped close to the back door and she did come into my lap and allowed me to pet her while she sought comfort. She freaked out when I tried to take her back into the ISO area due to how loud the other dogs were. I traded another dog from an ISO kennel into her cage and gave her a larger space where she doesn't need to be picked up for retrieval. I happened to see the officer outside who brought her in and he said he was attempting to cite the owners.  Monitor for now. ",Staff Observation,4/6/2024,03:40 PM
65,Write Up,A0055265231,4/6/2024 De'Erica advised that she took him outside okay and used a toy as a trade for leash biting. She tried to get him out of the play yard but he went for the leash. She dropped the leash but then he went after her shoes and mouthed over her feet hard and leash biting. Booker had to come and assist her with retrieving. ,Staff Observation,4/6/2024,03:43 PM
66,Write Up,A0055649438,"4/6/2024 During rounds I passed by his kennel and he was stress panting. I put my hand near the door with a treat but he ran and charged the kennel door, startling me. I did a few more drive bys and offered treats a couple of times. Sometimes he growled other times he just hard stared. Staff advised they are able to get him out and walk him but he is described as ""weird"". ",Staff Observation,4/6/2024,03:52 PM
67,Write Up,A0055265231,4/7/2024 Took Primo out twice and walk by his kennel twice a week and he has not displayed any BR behavior what so ever. Easy to leash and handle. Gentle and playful in the play yard and walking. Maybe he can be leveled down so more vols can take him out. ,Staff Observation,4/7/2024,05:47 PM
68,Intake,A0055675268,4/8/2024 Easily handled. Go slow warms up quick.,Staff Observation,4/8/2024,01:07 PM
69,Write Up,A0055612570,"4/9/2024 On 4/5, Marsha was housed on the opposite side of Misha in 079. Stephanie let me know that she was biting and lifting the guillotine so much that her mouth was bleeding all over the guillotine. We switched both dogs' housing. Will level up to L2-BR and leave a memo on profile to specify she will go after guillotines for the dog behind her. ",Staff Observation,4/9/2024,04:44 PM
70,Focus Group,A0055265231,4/10/2024 Level down?,Staff Observation,4/10/2024,05:48 PM
71,Intake,A0055697364,4/11/2024 Easily handled in intake and during intake exam.,Staff Observation,4/11/2024,01:08 PM
72,Intake,A0055697269,4/11/2024 Easily handled in intake and during exam.,Staff Observation,4/11/2024,02:05 PM
73,Write Up,A0054884374,"4/12/2024 Stormi is very OA. She was a little hard to leash in her kennel and was jumpy. Once we got out to the yard, she was jumping relentlessly and biting at my shirt, apron, and hands. I tried to release her, but she would immediately bite the leash and tug on it. Throwing treats on the ground did not work. She also tore a whole in my shirt. Eventually, another volunteer came out with a stuffed toy and grabbed her for me.",In Shelter Volunteer Observation,4/12/2024,05:27 PM
74,Focus Group,A0055675268,"4/15/2024 Personality: Lorraine is a very sweet and shy girl who seems to be getting more confident every day. She is playful with other dogs and extremely cuddly with everyone once she gets to know them.Dog Test 1: Lorraine met Kramer and offered play bows, Kramer (Large unaltered male) seemed very nervous and Lorraine respected his boundaries and didn't try to get too in his face but remained very playful. allowed the dogs to get close, Lorraine had a very wiggly body. Kramer had a tail tuck and backed away.Dog Test 2:Medical: Hw-, Not RTG, was scheduled for surgery 4/16 but was too sick.How Do I Handle Stress? Lorraine cowers away a lot. I noticed anytime I lifted my hand to move my hair she would flinch and close her eyes. Any sudden movements of the hands seem to make her nervous.What Do I Need Help With Most? regaining confidence with people, at first she seems nervous to meet people but she warms up very well!The Most Memorable Thing About Me: Her eyes!Intake Info: Stray public drop offWhat is my strategic out? Medium energyOngoing care:Other notes: Lorraine while nervous at first has done well interacting with men and women. Please go slow with her if you're first meeting her. She can sometimes be pretty timid to new people.",Staff Observation,4/15/2024,12:19 PM
75,Daily Observations,A0055135794,"4/15/2024 Took Spanky out today with a metal lead. Easier to leash him than with cloth lead. Still some LB but not as severe and he stopped pretty quickly, and we went out to the field to walk around.  He got OA with the 50 ft leash in the field, so we had to leave it unraveled. ",In Shelter Volunteer Observation,4/15/2024,10:06 PM
76,Daily Observations,A0055135794,"4/15/2024 Took Spanky out yesterday as well - once in the morning and again in the late afternoon, and he did great both times. Followed the pinned tips - enrichment first and then had him sit in the kennel for a treat and again once out of the kennel (he doesnt run off so I leash him outside of the kennel to deemphasize leash), he listened both times and was very easy to leash! The first outing, he didn’t bite the leash until we were out in the hallway! The second time, he didn’t bite at all except for a brief (likely bored) moment as I spoke to people in the hallway on our way back in. Responded relatively quickly to redirection “down” or “sit” and didn’t bite it again.  He enjoyed playing with a plush toy in the multipurpose room interspersed with belly rub breaks.  Super proud of him and thinking he’ll be a great fit for the upcoming sports training - if he doesn’t get adopted first!",In Shelter Volunteer Observation,4/15/2024,10:07 PM
77,Daily Observations,A0055265231,"4/23/2024 awful BR, pacing , jumping and lunging at door.",Staff Observation,4/23/2024,10:40 AM
78,Daily Observations,A0055135794,"4/24/2024 4/24He got all the way to the hallway leading outside before any biting occurred! This followed  the usual frozen enrich + “sit” in kennel + “sit” outside of kennel + “find it” while walking. Was easily redirected in the hallway. Greeted a couple of dogs nose to nose through the fence with a wagging tail. Was mostly interested in affection in the play yard. At one point, there was a dog loose on the other side who I went to leash; Spanky started barking as I walked the other dog inside and then bit at the leash once I got back so I wonder if he got bored or frustrated. I ignored the behavior and gave him a treat when he dropped it and sat, and he walked well inside! He enjoyed playing with his toy and resting for belly rubs in the multipurpose room and self-entertained while I spoke with Hannah! Was excited when greeting Naomi and Daisy so still working on seated greetings, but was glad to hear from multiple staff that he’s been doing better! He’s such a love",In Shelter Volunteer Observation,4/24/2024,10:10 PM
79,Intake,A0055785509,"4/25/2024 Scared but easily handled. showed signs of fear, startles easily, tense muscles, frozen, trying to hide, not taking treats..",Staff Observation,4/25/2024,12:17 PM
80,Intake,A0055789122,4/25/2024 Easily handled ,Staff Observation,4/25/2024,03:45 PM
81,Write Up,A0055135794,"4/26/2024 Spanky was being taken out to be seen by an adopter when I helped adoptions worker Timya get him. He was leashed fine but then when we were trying to get him to stop jumping, he began his leash biting. Timya couldn't start moving him due to him jumping and thrashing with the leash, so I took over. Spanky continued to leash bite and I attempted to keep him short-leashed. I kept him short-leashed and walked into the hallway while he continued leash biting and thrashing, trying to turn his body towards me so he could try to play tug of war. When I was trying to keep him under control in the hallway, he continuously thrashed and tangled his legs into the leash all while still holding the leash in his mouth at some capacity. I told adoptions there wasn't a way to properly and calmly show him to an adopter without him showing out on leash. ",Staff Observation,4/26/2024,05:04 PM
82,Write Up,A0055265231,"4/27/2024 doing better in corner of ISO 153, whines a lot to come out; will show no BR unless you stand there for a second (seems to be more out of frustration than anything else)getting better with leashing (have experienced no instance of LB since being moved into ISO or when located in 400); likes to spend time outside*bx problems potentially the manifestation from built up frustration of not getting out enough*started to hump when over aroused in ISO courtyard, easily redirected and no problems Katie R",Staff Observation,4/27/2024,03:22 PM
83,Write Up,A0055135794,"4/27/2024 when taking out to pasture, had to place collar due to LB issueshad to choke (cut of blood flow) multiple times to get him to let go of leash (long & short); nearly broke flirt pole (playing with very roughly)will occasionally use person as catapult to grab higher on leash (can hear his teeth clap shut) when moving from ISO to 300, refused to let go; hot dog to nose did not work, hot dog tossed to the back of the kennel did not work, towel swats to nose did not work, kennel door between him and I did not work; 3 people & 7 minutes - had to be sprayed in the face with a hose to get him to let go - tried using techniques that volunteer Katie Callum uses, did not work for me Katie R",Staff Observation,4/27/2024,03:41 PM
84,Intake,A0055806684,4/29/2024 Easily handled ,Staff Observation,4/29/2024,04:49 PM
