,AnimalNumberDT,DogTest
22,A0053911720,"1/18/2024 **Test completed! See notes test #11879137** Kisha Brown made a note regarding how a potential adopter had to move on because during a meet and greet with the resident dog Becephus ""became stiff and began barking. They separated the dogs but Bocephus remained focused on the resident dog, lunging and barking"" so the adopet asked the meet and greet to end. I think it would be important to do a formal dog test to determine if Bocebphus is generally dog-friendly. 

1/18/2024 Marky was very eager to get out of his kennel, pulling to the play yard, where he met Bocephus through the fence. Marky paced the fence, running back and forth with a semi-loose body and tail wags. Bocephus would do a quick sniff at the fence and back up quickly uninterested in Marky. Marky got very frustrated very quickly and began to growl as he paced the fence all the while Bocephus ignored him. We decided to go for a walk, both dogs took turns stopping to sniff one another and did fine. Bocephus got a little confidence and decided to jump at Marky's face, Marky immediately stiffened, gave a low growl, and barred teeth. The dog test ended. Marky may need to be re-tested once neutered. Meet and Greet required."
23,A0054577049,"2/27/2024 Juicy and Duffy met in the play yard. Duffy had a very loose and wiggly body, lots of tail wags. Juicy was stiff, hackles up, flag tail/high tail wag. Juicy allowed sniffs and sniffed Duffy, Duffy picked up on Juicy's cues and kept her distance while play bowing and trying to initiate play."
24,A0054688624,1/19/2024 Staff requested dog to dog test
25,A0054765121,nan
26,A0055028046,"1/26/2024 Maggie and Cypher DOG to DOGMaggie tried to avoid Cypher on leash, turning her body away, making U-turns.  Later Cypher gave a play bow and Maggie did not engage in play.Retest, M&G Req at this time. Wrote up-vision, nail trim, paw/pad check, dental check "
27,A0055111834,nan
28,A0055135794,4/9/2024 Leash biting stopped immediately when he saw Bubbles for parallel walk. Good body language during parallel walk so allowed them to meet. He acted appropriately with giving and receiving sniffs.  Settled immediately with her.  Laid down and loose lease walking on the way back.
29,A0055170623,"4/9/2024 Skylar and 41 lb 1yr old unaltered female met through the play yard fences, had loose wiggly body language and circular tails.  The other pup was brought into the play yard with Skylar and did some parallel walks, and got some sniffs in.  We were able to drop leashes and allowed pet.DF"
30,A0055406871,9/28/2025 Hank was initially very anxious. He slowly opened up and broke for a lower energy play. He would rotate from being independent and sniffing around to short bursts of soft play.
31,A0055454653,"3/19/2024 Did a dog test with 2 dogs. King Kong (male) A55477807 and Jinora (female) A55464936. She had high tail wags at first meeting them through the fence. She became more loose and wiggly meeting them on leash, gave several play bows to both. We went into the yard with King Kong and Amy both on leash. They continued to sniff each other and give play bows but mostly ignored each other."
32,A0055538889,"9/20/2025 wiggly guy who was doing tippy tappy feet in the catch pen, was vocal while waiting his turn to enter the yard. he happily greeted the people in the yard first. threw lots of play bows and ran around the yard then he had weird energy and became stiff around Ocha who was the only male who was bigger and not neutered in the yard so would be cautious about what dogs he comes to pg with. "
33,A0055579826,"9/12/2025 VERY people oriented. not much interest in interacting with other dogs, behaved as if they werent there but was fine when they surrounded her and she was tolerant of being bumped/jumped on. not sure if she benefits from playgroup. "
34,A0055612570,"5/25/2024 req dog test, attacking guillotines in kennel.  RE:  Was able to leash easily, she is a bolter so be ready with the leash.  Did not linger in front of kennel so did not see any BR, once outside she met Coda through the fence.  Marsha was super loose and wiggly and not fixated, was still interested in meeting the people that were present.  Once inside the play yard with Coda she sniffed and resniffed several times, circular tail wags and loose.  Broke away easily, and allowed Coda to sniff too.  She attempted to mount Coda, test was ended.  Needs SX

nan"
35,A0055649438,"7/2/2024 Shanel & FoxxBoth dogs immediately played very well together, matching one another's play style perfectly. Neither dogs are altered and we opted out of dropping leashes as a precaution. Dog Friendly"
36,A0055785509,"6/29/2024 Chocolate Chip was put in the 500s and was shaking, so Jan pulled her out to the multipurpose room. We brought Katara in to see if she would be more comfortable with a confident dog in the room. Both dogs were on leash. When Katara came into the room, Chocolate Chip immediately had a low tail and barked at Katara with tense body language. Katara looked over at her and walked away. Jan and I continued walking them around the room in big circles (always at least 10 feet away). Chocolate Chip would stop walking and stare at Katara, then go back to sniffing and looking out the window. Timya walked into the room and gave each dog treats and then left the room. We continued walking for a bit. Whenever Chocolate Chip and Katara got within 10 feet of each other, Chocolate Chip started barking and snarling at Katara. Katara reacted by doing the same. We ended the dog test."
37,A0055806684,"nan

8/18/2025 Lots of physical, energetic, paw play. Overcorrected on Pretty Girl and started a scuffle. He was removed only due to his overcorrecting. Very dominant player."
38,A0055905913,"10/4/2024 Primary Handler: SPSecondary Handler: HS Play Style:  Kept to self, but was interested, lower energy and a bit avoidant, but tolerated Pucashell's pawing well and intiated play a few timesSociability Category:  Social/Gentle dainty   LEGEND: /= called for X= entered PG ACC=acclimate; ANX= anxious; ASV= assertive; B=black; BR= barrier RV; BRI= brindle; BT= bobtail; C= corrections; CD= conflict driven; CE = cropped ears; CPR=cont., play, recover; CT= curly tail; D= defensive; DSP= displaced; F= female; FE= folded ears; FRL= fearful; FT= fight; G= greeter; GD= gentle/dainty; H= helper; HE= high energy; HH= handler helper;HM= hall monitor; IH= in heat; INT = intolerant; KMS= kick me sign; LH= long-haired; M= male; MD = mama dog; MRL= merle; MW= muzzle work; O= offensive; OBX= obnoxious; OC=over-corrects; OLR= on-leash RV; OR= over reacts; OS= surrender; P= puppy; PE = prick ears; PFL= playful; PL= prey-like; PP= push/pull; RD= redirected; RG= resource guarder; RM= roommate; RR=rough/rowdy; RS = ROCK STAR :) ; RV= reactive; S= small dog; SA= separation anxiety; SCI= stimulus control issue; SD= seek/destroy; SE=selective; SM= sexually motivated; SO = social; SS= soundsensitive; ST= stray; T= tolerant; TG= territorial guarding; UD= uninterruptible drive; UNS= unsocialized; UP= unpredictable; V= vocal; W= white; WG= warnings; WH = wire haired; WOS= wary ofstrangers"
39,A0055941918,nan
40,A0055952142,nan
41,A0055971280,"nan

6/13/2024 Personality: Dean is a sweet dog. Doesn’t seem to like a lot of affection. He was more interested in sniffing around outside and exploring. He is easy on his leash and also easily leashed in and out of his kennel. His foster notes say he was very loving, he might be more affectionate when he feels comfortable. Dog Test 1: Did a dog test with Boombox (M) We had them meet through the fence first. Dean had loose body language, had slow tail wags and followed Boombox back and forth along the fence. Once we took Dean out of the play yard he went directly up to Boombox and started smelling his face. We took them on a side by side walk and allowed them to sniff each other a few times. Everything was going well until Dean started to hump Boombox repeatedly. Boombox wasn’t reactive to Dean showing dominance. We didn’t further the test after seeing this behavior.Dog Test 2: Dean met Chiara through the fence first and they sniffed but Dean didn’t seem too interested. We tried a side by side walk but Chiara had some hackles up and started redirecting towards Timya. Dean really wanted to get to her but not in an aggressive way. We did not feel comfortable finishing the dog test so I will retest him with another female to see how he does. Medical: 1 year and 6 months Hw + 36lbs How Do I Handle Stress? Seems to be doing ok in his kennel but does bark a lot when you approach his kennel. He walks confidently through the building with no issues. What Do I Need Help With Most? Socialization with other dogs. He did well on his dog tests but he likes to be dominant. The Most Memorable Thing About Me: His big ears.Intake Info: He was a friendly finder who brought him back due to some behavioral issues. What is my strategic out? Breed, age, and look. Ongoing care: getting him neutered to see if this helps with his behavioral issues. Other notes: He is a marker, he marked every bush we passed by. "
42,A0056025635,"7/10/2024 Rick Sanchez met Julio through the play yard fence. They ran back and forth engaging in play for a while, stopping occasionally for sniffs and licks.  Julio was brought into the play yard with Rick Sanchez where they sniffed each other and ran back and forth soliciting for pets. DF

nan"
43,A0056373956,"9/20/2025 VERY steerable. rode the bench to get away from the other dogs. avoided direct interactions, offered very appropriate correction when spriggy attempted to mount her. cool to coexist, seems to appreciate the company"
44,A0056388664,nan
45,A0056500648,"8/16/2024 Can be a little stiff/dominant with other dogs, but overall does extremely well. Good helper dog; relatively calm and can be redirected. "
46,A0056503718,"8/17/2024 a good helper dog, friendly, calm playstyle"
47,A0056513366,"8/13/2025 very wiggly upon entrance to yard. when he began playing sweetie pie offered a very strong overcorrection (policing) and jumped on top of him - receiving no reaction from skippy. seemed unphased, continued to interact with dogs in the yard. attempted to mount red boy but remained steerable and was able to disengage. very tolerant of red boy's puppy antics. laid in the pool to indicate that he was done playing. "
48,A0056520035,"1/8/2025 Dog Test 1:Maylene met a bigger dog and tried to fence fight through the fence with him, brought pup into the yard and Maylene growled and snapped at the bigger pup. Dog Test 2:Maylene met a pup smaller in size and pawed at her face and back to engage in play with Maylene.  Maylene gave proper sniffs and gave circular tail wags.Selective, or gentle dainty."
49,A0056545695,"3/21/2025 confident, social with all dogs. when dogs began running around the yard, beauty followed behind growling and necking. behavior appeared playful, may not be well-received by some dogs. "
50,A0056551335,8/24/2025 Very excited in the catchpin and was rubbing up on it like a cat to get love and attention from the dogs in the yard. Once she came into the yard she was fine coexisting but got overwhelmed and overcorrected a dog. She had given several good corrections and just became annoyed with the other dogs not listening. She is very easily startled and became reactive on the leash when being taken out of the yard.
51,A0056593214,"9/12/2025 was loose and wiggly in the catch pen but once in the yard and approached by dogs she was shy and would run away, was trying to stay close to people instead."
52,A0056628457,nan
53,A0056878500,"1/4/2025 Messina was very dominant when greeting other pups.  Couldn't get her past face to face greeting because she would neck other dogs.

9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Friendly, tolerant   "
54,A0056996026,"10/23/2024 Strong puller, excited greeter, tried to mount the other pup.  Needs neuter"
55,A0057072729,3/21/2025 likes to bite collars/leashes. 
56,A0057081101,"10/29/2024 Dog test with Pretty Girl: Springy was excited to meet Pretty Girl, positive body language. Springy would put both paws on Pretty Girl and Pretty Girl tolerated. "
57,A0057103153,"nan

5/26/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, wiggly in catch pin, tolerant, handler oriented, very sweet, curious (doesnt know how to dog)  "
58,A0057205462,nan
59,A0057224582,"4/22/2025 began playing as soon as she entered the yard. very direct play with both dogs, ran around the yard bringing up the energy. tolerant of dogs jumping/stepping on her. "
60,A0057257626,"3/21/2025 can be vocal when playing, but can hang with the rowdy crowd without issue"
61,A0057303592,"3/21/2025 bring to bombproof r/r group - lack of interactions has made her quick to overreact, but enjoys playing rough"
62,A0057327449,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Friendly, tolerant  "
63,A0057331299,"5/6/2025 prev notes indicate reactivity through gate & leg biting, otherwise is fun with the rowdy crowd"
64,A0057353143,"8/26/2025 offensive through gate; attempted to bite dogs and displayed very stiff body language. once in yard she greeted other dogs politely but would stand over every dog she could. offered a few fake-out play bows with jellybean, but displayed a stiff body with all other dogs. snapped at na na with no clear indication why outside of na na being the biggest dog in the yard. after snapping at na na she became very agitated and snapped at marvin before getting into a scuffle with cosmo. became fixated and had to be removed from the yard. "
65,A0057411243,"4/12/2025 entered the yard with neutral body language, maintained neutral body language through assessment. clint approached to greet and entice her to play, which she received well but did not reciprocate. displayed excited body language when greeting handlers in yard. "
66,A0057425727,"3/21/2025 did well with playful group, reactive at the fence. would need to be the last dog brought to the group to reduce barrier reactivity once in yard."
67,A0057442724,3/22/2025 a bit vocal but otherwise playful. played well with lakemont. would bring to push/pull group
68,A0057471755,3/22/2025 poor beh in 1st assess - reassess w different testers good assessment w pinky and lakemont. loose at gate and social in the yard. no attempts to play but co existed well. start in gentle/dainty group.
69,A0057478489,"5/28/2025 tested w wiggles and goliath. ran around with wiggles, showed no interest in goliath. continuously stayed in her butt, seeming interesting in mounting her, though wiggles is very evasive to dogs who try to mount her so he was unable to get on top of her. recc. rt after nx "
70,A0057500056,"3/22/2025 appeared fearful last few attempts to bring to playgroup. adding play style assess reassessed; very scared, cowered low to the ground when coming out of her kennel and coming into the yard. needs interactions with dogs who are social but don't interact directly. 

4/9/2025 ready to play as soon as she entered the catch pen. upon entering the yard she ran around, enticing birch to chase her, but would then stop and sniff the yard. birch body checked her once and she received it well. would love to have her in a respectful push/pull group, may graduate with more socialization"
71,A0057572441,nan
72,A0057639779,3/19/2025 loose and wiggly in yard. very social and inviting
73,A0057639835,nan
74,A0057673945,nan
75,A0057747654,3/22/2025 bring to respectful push/pull group
76,A0057749805,nan
77,A0057776766,"nan

3/27/2025 Dog to dog 3/27/25 SP-Cantaloupe met Tiger (M) in the catch pen, gave good fence greetings and they were both allowed off leash and had similar play styles, sniffed each other then both kind of did their own thing and sniffed around the play yard and watched other things outside the play yard, frequently re-sniffing each other."
78,A0057782104,"2/12/2025 T-Rex was scared in the kennel, was able to get outside and get fence greetings in.  Went into the play yard was a bit stiff at first, allowed other pup to sniff.  The other pup engaged in play with play bows and he scooted away and gave a small correction and moved away.  Dropped the other pups leash as they became entangled a bit.  T-rex scooted with butt low to the ground. Gentle dainty or lower energy play stay."
79,A0057801258,"8/13/2025 very social, greeted all dogs, alternated between exploring independently and engaging with dogs. "
80,A0057806990,"3/4/2025 Tiana was not reactive as we left her kennel area. When we got to the yard she met Bravo (young male dog) through the fence and was disinterested. She had her hackles up and was somewhat stiff when greeting, but did not react in a negative way or correct Bravo. She seemed to want her personal space, but was aloof around Bravo. He initiated play with her but she did not engage. Would likely prefer her own space but may be selective with dogs.

8/31/2025 Shy in catch pin then came in fairly confident. Wiggly walking around the yard with a happy tail but slightly stiff when other dogs were in her face. Never broke for play."
81,A0057813433,"6/4/2025 reactive through gate - initially let into yard with handler holding leash, but we were quickly able to drop the leash as she engaged in rough play with the dogs. she came out early on in playgroup and stayed out until it was over, her bestie was banksy. she often will barrel roll so be mindful of that in larger groups, but otherwise she was the life of the party"
82,A0057820399,9/23/2025 Very excited in the catchpin and came into the yard very hot. Firefighter would jump all over the dogs and wasn’t scared of any size of dog. Very tolerant. Some of the time he would play a little more submissive and enjoyed rolling on his back with the dogs around him.
83,A0057820720,nan
84,A0057821053,nan
85,A0057824667,3/22/2025 submissive but eager to interact
86,A0057877022,"9/12/2025 play bowed at dogs while in catch pen. once in yard she initially ran away from the group of dogs but slowly gained courage and began engaging in gentle play. would get nervous and retreat, but kept going back to try again. "
87,A0057885171,"3/22/2025 went out to pg with a few other insecure dogs - rami came up to greet mary sanderson while mary was in the corner, so mary snapped at rami and rami reacted, drawing a group to them when sunflower approached and attacked rami. once separated rami pressed herself against the fence and was shaking intensely. needs confidence buddy, for now removing from playgroup and assigning her a confidence buddy. "
88,A0057901651,"7/27/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:steerable, excited in the catch pin to come in, very energetic puppy, played rough with omni  "
89,A0057910867,3/24/2025 high hw pos - will not bring to playgroup - limited activity. no pg assess 
90,A0057918810,"4/11/2025 greeted dante vale through the gate, stiffened then snapped at him. i recalled him from the gate and then had him greet hootie through the gate. he was still stiff but was more tolerant of her presence. once in the yard he stood over here moving slowly and as hootie moved to get in play stance he attempted to nip at her. was unable to refocus after that, had to remove from yard and out of sight of dogs before he focused on me again. "
91,A0057938358,3/21/2025 RT after NX hackles stiff stood over oreo growled
92,A0057942396,4/9/2025 very loose and excited body language coming into the yard. no direct play but ran around the yard and was tolerant of birch chasing him. birch attempted to engage in play but was ignored. 
93,A0057945065,"3/24/2025 completed 4/2/25

3/29/2025 completed 4/2

4/2/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:steerable, handler oriented  "
94,A0057949153,"9/22/2025 tried to step on loyal to lick his face while loyal was laying down (no sense of boundaries or awareness). attempted to engage in play with sophie (low energy older gal) and did not pick up on her not wanting to engage. lost interest when she ignored him long enough and then engaged in chase games with delaney. spoleto was brought into the yard and tommy jumped all over him trying to get him to play. loves water, is a silly goofy boy. "
95,A0057969563,"7/29/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, very quick to correct other dogs, nervous (tail tucked) and shy, but still curious. Undersocialized but will open up  "
96,A0057969626,"5/2/2025 approached both dogs with curiosity but would expose her belly and tuck her tail when goliath engaged in play. appeared to be more comfortable with wiggles. adding to g/d, may graduate with gained confidence. 

8/5/2025 Came in the yard cautious and shy. Continued to have positive body language the whole time. Gentle play bows and a low wagging tail. Played softly with Chili Special."
97,A0057985936,"nan

4/2/2025 Primary Handler:amberSecondary Handler:ashleyRunners:Scribe: Notes:steerable, came in very playful, tolerant of birch sniffing her while going to the bathroom  

4/3/2025 Lana met Hero (M) through the fence, her tail was loose and wagging. Her body language was relaxed and she was very interested in meeting him. Stephanie brought Hero into the play yard and we kept them both on leash. Lana immediately went over to him and they exchanged sniffs. He was really interested in playing and started pawing at her face, Lana let out a low growl to correct him. We gave them a second and then let them interact again. Hero approached and was in her face again and she let out another correction. She was ok with him sniffing her and being around her. See was also very interested in the other male dog that was outside. She would prefer someone lower energy or with a similar play style as her. But overall she did really good, we didn't drop leashes because we didn't have anything to correct with just in case. "
98,A0057985953,"3/22/2025 reassess after nx

4/17/2025 no play, co existed well, took corrections well"
99,A0057999103,3/22/2025 may graduate to push/pull with more socialization
100,A0058000573,"4/17/2025 good body language when greeting birch and joan. excited tail wags and confidently walked around the yard. was a bit vocal when the dogs began playing - no offensive behavior observed. when removing from the yard, joan slipped into the catch pen and as amber was removing her goobie loobie jumped up to grab joan's leash. was easily redirected. super excited to greet handlers."
101,A0058006328,"3/21/2025 loose body language at the gate, helicopter tail in the yard. appeared playful but stood over radio rebel and oreo castellon and pulled very hard so he was removed from the yard. retest after nx

4/3/2025 Primary Handler:amberSecondary Handler:ashleyRunners:Scribe: steerable, came in the yard very playful with loose wiggly body language, very tolerant when mounted by betty lou but did not correct. took correction from birch very well, easily startled by humans  

nan"
102,A0058006377,"3/19/2025 First test: Chappell A0058006377 tested with Habil A0058008737 (M, not neutered) for dog test.Before Chappell entered yard, both had loose tail wags, forward body posture towards each other. Habil did mark and kick up mulch during introduction. Both dogs stayed on leash for introductions; both dogs displayed loose  body language, occasionally sniffing after one another. Habil did seek out smelling Chappell's rear a few times.Once leashes were dropped, Chappell and Habil had easy back-and-forth interactions; both trailed each other in the yard. When Habil tried to sniff Chappell's rear and did not give space, Chappell froze, turned to Habil and did use a small correction. At the correction, Habil moved away to give space. Both dogs exchanged disengaging in play; Habil did continue to seek out sniffing Chappell.Test 2: Chappell A0058006377  with Vera A0057664108 (F, recently spayed)At the gate (Chappell in yard, Vera entering), Chappell displayed alarm barking, tense body language, direct eye contact. Vera was tense, forward body positioning with a stiff/short and alert tail wag.While in yard on leashes, Vera had a tense, forward body with a tight tail wag. Chappell was not fixated, sniffing in the yard and did not seek out interaction. Vera did pull against the leash, enough to stand up, towards Chappell a few times. After leashes were dropped, Vera pursued Chappell and mounted her. Chappell growled and corrected, and both dogs were removed from each other. Chappell also growled at Vera after she had been taken from the yard.Chappell labeled as dog selective, prefers malesTest 3: Vera A0057664108 with Lorne Michaels (M, unneutered, young)At the gate, Vera was very fixated, pacing the fence line while Lorne was being tempted to sniff Vera. We allowed Lorne to enter and have leash dropped while in yard. Lorne kept to fence line, slowly crept through yard and sniffing. Vera continued to fixate towards Lorne on leash, tugging and standing on leash.Vera was brought closer to Lorne; Lorne sought out Vera and both sniffed each other face-to-face. Vera had forward body language, straight alert tail. Vera was allowed to continue and she mounted Lorne, who did not correct, froze, and did not move as Vera was removed from yard.Vera labeled as dog selective, sexually motivated

3/23/2025 Chappell was tested with just Mila - thought Ralph would be too much based on gate greetings. Chappell seemed nervous and had his hackles up the whole time he was in the yard. He was steerable but stiff and tolerant of Mila sniffing him. Never engaged in play and after a few minutes he was ready to go. Requesting a retest for more info.

4/3/2025 Primary Handler:amberSecondary Handler:ashleyRunners:Scribe: Notes:steerable, dominant body language with lakemont, came into the yard stiff. handler oriented. listens very well with verbal correction from handlers. no pg due to OA and dominance that could be overwhelming to other dogs.  "
103,A0058025499,"3/25/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:Frustrated in the catchpin, but very steerable and submissive in the yard. Loved playing with Mila.  "
104,A0058031872,nan
105,A0058036198,"3/25/2025 steerable, handler oriented, tolerant, submissive, curious, loved mila kunis- followed her around the whole time, prefers female dogs"
106,A0058038278,"3/27/2025 steerable, handler oriented"
107,A0058042308,"4/15/2025 good body language at gate, stiffened and tucked tail when birch approached. keke held birch back while ghost entered the yard. after sniffing around for a bit he jumped up on me to solicit attention and then went to go greet rose. good body language when greeting her although appearing unsure/nervous. sniffed the air around birch and retreated from him. due to size/behavior, would only bring him to pg with dogs of similar size. "
108,A0058069584,nan
109,A0058099467,"4/9/2025 very unsure body language. also sick so energy may have been depleted, but she displayed submissive behavior and insecure when approached by birch. would benefit from socialization, bring to cafe but may graduate"
110,A0058100843,"5/23/2025 not steerable. roamed the yard independently, displaying relaxed/neutral body language. tolerant of sniffs and kisses from hawaiian punch and hootie but showed no interest in interacting. "
111,A0058104749,"4/9/2025 neutral at gate and in yard. lakemont approached her invading her personal face, giving her a bunch of kisses and danielle offered an appropriate correction to back him off. no interest in rose (who was just existing in the yard) was fine to co exist with them. lakemont tried again to get her to play and she offered an appropriate correction without escalating.  could live with other dogs, but doesn't appear to benefit from the interaction with dogs here."
112,A0058214995,"4/10/2025 RT after NX

5/26/2025 Primary Handler:amberSecondary Handler:emilyRunners:Scribe: Notes:steerable, sniffed the yard, very tolerant of other dogs sniffing her, prefers to just coexist  "
113,A0058215215,"4/11/2025 while prepping to enter the yard, two dogs approached him unexpectedly and he responded in a friendly manner both times. at gate he was loose and very wiggly. immediately upon entrance to the yard he began playing with mcnubbin and tolerated birch's rough play well. birch stood over him a bunch and became vocal while body bumping him and nash received all of it well, maintaining loose or neutral body language. has greeter potential - would like to bring him out to a playgroup before final determination. "
114,A0058231619,"4/15/2025 bum rushed the dogs once she entered the yard. very interested in playing with goliath, came off a bit weird since she's a very loud breather and was very excited but too stubby to jump up like she was trying to do. "
115,A0058240878,"4/17/2025 skittish, submissive tail wags with other dogs. no interest in playing"
116,A0058252089,9/14/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:Came into the yard with a lot of curiosity. Roamed around the yard with the other dogs and showed interest when they did but never fully broke for play. He mostly enjoyed just running parallel to a dog back and forth.   
117,A0058252924,"4/17/2025 excited body language outside of yard, more reserved once greeting dogs. very tolerant of play although not reciprocated"
118,A0058256030,"5/6/2025 Got into a dog fight in the field. Needs dog interaction assessment. 05/06/2025 on court hold, ineligible for assessment. -gflebbe"
119,A0058262189,nan
120,A0058262254,"5/20/2025 confident and excited in catch pen, came in hot ready to play with wetzelian pretzel but when WP showed interest in playing with her she suddenly recoiled, tucked her tail and displayed raised hackles between her shoulder blades (made her look like a coyote). kept trying to engage in play but had her tail very tucked and was baring her teeth and air snapping at WP. seemed more comfortable with goliath, liked to chase, did not like being chased. although she's playful, i think she'd do best in gentle/dainty to help with confidence before graduating to push/pull. video in asana"
121,A0058272077,"5/20/2025 great loose body language at gate. greeted goliath and wetzelian pretzel well, broad wag. when approaching WP his hackles raised between his shoulders. stiffened when she checked him out. goliath then approached and jet stiffened and darted his eyes back and forth between WP and goliath (seeming uncomfortable from the pressure of goliath being on the other side of him, removing jet's ability to disengage easily). overcorrected goliath when goliath sniffed his face - went to bite the middle of goliath's back and sounded very intense but never bit down and was easy to separate, was fine with WP being nearby after the correction. ineligible for playgroup at the shelter, may need slow intros to other dogs. video in asana

6/10/2025 No reaction walking past dogs in the kennel or outside. Initially snarls through the fence. Given enough time to acclimate he loosens up and will sniff through the fence without issue. In the same yard he sniffed and went nose to nose with the other dog. His body did get stiff at times, but he also gave some awkward play bows. Needs a very calm dog to teach him how to be social. Seems under socialized. Slow intros and M&G required. "
122,A0058308340,"7/15/2025 Topochica was tested with Pavement and Skittles. She was instantly anxious in the catch pen and had her hackles up. Let her in on leash and she allowed the other dogs to sniff her and had loose body language. She was able to co exist with the other dogs in the yard but when they tried to get her to engage in play with them, she immediately snapped at them.  I believe that she just doesn't know how to play so wants to use her teeth, could potentially latching on to another dog. Recommending only dog due to the fact that she has other social behaviors that need to be worked on.  "
123,A0058313508,"5/1/2025 *when replacing in kennel, i observed same behavior erica noted in previous beh memo. was able to get her to break focus while i removed her collar but she didn't take her eye off of the wall (nona is not kenneled next to her anymore, however another reactive dog is setting her off).* tolerant of greetings, when greeting dreko he showed interest in her and she stiffened but broke and went about her business sniffing the yard. daisy approached to initiate play and nana very clearly made a 180 to disengage. no reaction to daisy bumping into her. when removing from the yard, she cowered down and was hesitant to walk on leash and exit the yard. adding to socialization group, may not benefit from interaction. video in asana"
