,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed,name
77,1209692612237434,A0058022861,L1,L1,,-,S,941010002325528,3/21/2026,61,,Available,03 year(s) 04 month(s) 01 day(s),Puppy 48 1,https://bit.ly/Adopt-mango,,Walks politely on leash,,Does not like cats,,Has done well in a crate.,Still working on it,,2-Medium energy,,3/15/2025," Brown / White Mixed Breed, Large (over 44 lbs fully grown) / Mix",Loves car rides,F-Offensive,"nan

3/31/2025 Was taken out for playgroup and they noted he was aggressively sexually dominate even with corrections from the other dog.","3/21/2025 see pg note from 03/31 - no pg due to offensive beh. Primary Handler: deshaySecondary Handler: gillianRunners: amari, taylorScribe: gillianPlay Style: gentle/daintyGreeter/Helper: greeterSignificant Incidents:very loose and friendly body language at gate and in yard. although radio rebel and oreo castellon are higher energy, they did not attempt to engage in rough play with her, and did well co existing. every time mango greeted the dogs she displayed a helicopter tail. very non-offensive behavior, would do amazing as a greeter.   ","3/16/2025 easily handled in the kennel and during the intake exam. 

6/21/2025 Easily handled in intake kennel & during exam. ","5/2/2025 Timestamp 2025-05-02 22:50:49Dog's name: MangoDoes this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain. UnknownHow long have you had this dog? 2 hoursThis dog is a... Dog For The Day (I picked this pet up earlier today for an outing.)What activities did you do with this dog today? Went for a walk, to an open park and to a coffee shop shopDid this dog have any interactions with the following? [Dogs ] Positive InteractionDid this dog have any interactions with the following? [Cats] No InteractionDid this dog have any interactions with the following? [Men ] No InteractionDid this dog have any interactions with the following? [Women ] Positive InteractionDid this dog have any interactions with the following? [Children ] Positive InteractionWhat was this dog's activity level? 1-Low energy (Couch potato)How cuddly was this dog today? 2-I'm affectionate with friendsIf this dog met any children on your outing, how would you describe this dog's behavior towards the children? Mostly FriendlyHow did this dog do on a leash? Great on a leashDid this dog know any commands? Sit, StayWhat is this dog's best quality, in your opinion? So chill on leash and in car! She’s very calm, sweet and gentleWhat is this dog's worst quality, in your opinion? None really, only that I had to pick her up to get in car but she let me do that with no problemSelect any of these apply to the dog's personality: Friendly, IndependentDid this dog have an potty accidents? NoDid you see this dog act aggressively toward anyone? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home. Mango is super sweet! She is very chill and walks (strolls!) perfectly on a leash. She was friendly to a few people we walked by and she walked by another dog and didn’t do anything. She let me pick her up to put her in the car without any care - she seems very adaptable. We visited a coffee shop and the door kept slamming shut which startled her so she does seem to have a little fear in her but I wouldn’t say that her personality comes off fearful. She takes treats gently and knows sit/stay.Would you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes

6/22/2025 MANGO – Adoption Return Timestamp 2025-06-20 11:48:34How long have you had this dog? since may 28This dog is a Adoption Return (This pet was adopted from this shelter.)What is the main reason you are bringing this dog back to the shelter? Time commitmentPlease explain in your own words, why you need to return this dog today I need to return the dog due to me not being able to take care of her anymore.While in your care, did this dog live with children? NoWhat other animals did this dog live with in your home? No other animalsHow does this dog react when they see a prey animal (squirrel, mouse, bird) or cat outside? dog attacked catHas this dog ever killed a prey animal or pet? If yes, please describe the incident NoIs there any other information you would like to share about this dog interacting with other animals? noWhere did this dog spend most of their time? BothDo you have a fenced yard? NoIf you do not have a fenced yard, do you: Walk the dog on a leashHow did you exercise this dog? walked the dogHow often did you exercise this dog? DailyWhat kind of collar did you use for this dog? Buckle collarHow was this dog on a leash? Some pulling, but manageableHave you ever taken this dog to a training class? NoWhen the dog played did they typically Jump, GrowlHow long each day was this dog left alone inside your home? 4When left inside your home alone, was this dog CratedWhen this dog was left alone did they show any of the following behaviors? None of theseIs this dog crate trained? Yes, for 4-8 hours.How often did this dog have potty accidents in the house? Urinates and defecatesHow often did this dog destroy things other than toys? NeverIf this dog destroys things, is it only when left alone? NoWhat does this dog do when a stranger/visitor comes into the house? Sniff themWhat does this dog do when a stranger tries to pet them? lets themWhat does this dog do when you or someone else goes near the food bowl while they are eating? growlWhat does this dog do when someone tries to take away toys, bones, food, or anything the dog decides is valuable? nothingWhat does this dog do when someone tells them to get off of furniture? Gets offWhat is this dog's best quality? NoneWhat is this dog's worst quality? noneCheck all that apply to this dog's personality: ShyIn your own words, describe this dog's personality quietWhat is this dog afraid of? How do they react? water bathAll dogs have sensitive places waterHave you seen them act aggressively toward anyone? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home noneWould you like to be notified if this animal is ever at risk for euthanasia? NoIf the animal is still here in 30 days, would you like us to check in with you? No",True,Mango
78,1210577921376371,A0058730240,L1,L1,,-,M,941010003884040,,43,,Available,02 year(s) 00 month(s) 06 day(s),Dogs 066 B1,,,,,,,,,,,6/17/2023,6/17/2025," Grey Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,Pending,,nan,6/18/2025 easily handled while in intake and during exam.,,True,Herbie
79,1210577954209113,A0058730873,L1,L1,,-,N,941010003911786,,41,,Available,00 year(s) 10 month(s) 09 day(s),Dogs 506 B6,,,,,,,,,,,,6/17/2025," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,Pending,,nan,6/18/2025 easily handled while in intake and during exam.,,True,Tyler
80,1210588779330271,A0058731833,L1,L1,,-,M,941010003908246,7/1/2026,46,Owner Reclaiming,Owner Request,01 year(s) 03 month(s) 02 day(s),Dogs 088 A2,,,Walks politely on leash,,,Positive history with kids,,,I'm affectionate with friends,3-Regular walking/running partner,6/18/2023,6/17/2025, Black / White Alaskan Husky,,,,nan,"6/18/2025 easily handled while in intake and during exam.

11/26/2025 Easily handled in the kennel and during the intake exam. ",,True,Stryker
81,1209735123431806,A0058042579,L1,L1,,+,N,941010002406160,3/24/2026,69,,Available,03 year(s) 03 month(s) 11 day(s),Featured Dogs 52,https://bit.ly/Adopt_SkibbidyBop,,Walks politely on leash,,,,,,Super cuddler,1 - Low energy,3/19/2022,3/19/2025," Black Terrier, Pit Bull / Mix",,Pending,,"4/17/2025 assessed with mcnubbin - had kimble in the yard but he appeared unsure outside of yard and kimble is higher energy, so she was placed in adjoining catch pen for his assessment. he showed much interest in checking her out through the gate. once in the yard he greeted mcnubbin well but was only interested in smelling mcnubbin's butt and marking everything. updating result to inconclusive, reassess after nx 

nan",3/20/2025 easily handled while in intake and during exam,"4/12/2025 SKIBBIDY BOP – DFTD 4/12 How long have you had this dog? 4-5 hoursThis dog is a... Dog For The Day (I picked this pet up earlier today for an outing.)What activities did you do with this dog today? Went to the park and walked around town!Did this dog have any interactions with the following? [Dogs ] Positive InteractionDid this dog have any interactions with the following? [Cats] No InteractionDid this dog have any interactions with the following? [Men ] Positive InteractionDid this dog have any interactions with the following? [Women ] Positive InteractionDid this dog have any interactions with the following? [Children ] No InteractionWhat was this dog's activity level? 1-Low energy (Couch potato), 2-Medium Energy (Alternates rest and play)How cuddly was this dog today? 4-Super snugglerHow did this dog do on a leash? Great on a leash, Gets excited when they see other dogsDid this dog know any commands? None, UnsureWhat is this dog's best quality, in your opinion? Super super sweet and loving! Has spurts of energy, loves rolling in the grass.What is this dog's worst quality, in your opinion? Not playful and low energy.Select any of these apply to the dog's personality: Friendly, Shy, Affectionate, Goofy, PoliteDid this dog have an potty accidents? NoDid you see this dog act aggressively toward anyone? NoWould you like to be notified if this animal is ever at risk for euthanasia? NoIf the animal is still here in 30 days, would you like us to check in with you? Yes

6/9/2025 Timestamp 2025-06-09 16:12:48Dog's name: Skibbidy BopAnimal ID #: A0058042579Does this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain He is Heartworm positiveHow long have you had this dog? For a couple hoursThis dog is a Dog For The Day (I picked this pet up earlier today for an outing.)What activities did you do with this dog today? Today we went to Dunkin for a pup cup and then we went to McDonald's for some chicken nuggets and he loves them. We then went to the park and took a short walk and rolled himself on the grass. Posing for a quick photo and then back on his belly, Skibbidy is very goofy and gentle.Did this dog have any interactions with the following? [Dogs ] No InteractionDid this dog have any interactions with the following? [Cats] No InteractionDid this dog have any interactions with the following? [Men ] No InteractionDid this dog have any interactions with the following? [Women ] Positive InteractionDid this dog have any interactions with the following? [Children ] No InteractionWhat was this dog's activity level? 2-Medium Energy (Alternates rest and play)How cuddly was this dog today? 1- Let's get to know each other before cuddlingHow did this dog do on a leash? Some pulling, but manageableDid this dog know any commands? SitWhat is this dog's best quality, in your opinion? His goofinessWhat is this dog's worst quality, in your opinion? His stubbnessSelect any of these apply to the dog's personality: Friendly, Shy, Playful, Goofy, PoliteDid this dog have an potty accidents? We were outside all day.Did you see this dog act aggressively toward anyone? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home At the moment he can't be running due to the heartworms but I know that once he's better he will probably be more of a goofball and energetic. He's very goofy and gentle and loves chicken nuggets.Would you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes

6/26/2025 SKIBBIDY BOP – DFTD Timestamp 2025-06-23 21:12:43Does this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain Heartworm positiveHow long have you had this dog? 1:45pm-6:30pmThis dog is a Dog For The Day (I picked this pet up earlier today for an outing.)What activities did you do with this dog today? We started our day with a pup cup and then a drive to the store. After our quick pit stop we went to pick up some food and he got an order of chicken nuggets. After grabbing our food we went to the park where we spent the rest of the time we had. Besides rolling in grass and taking a stroll, I discovered that he enjoys to play hide and seek. As I hid behind one of the columns and going back and forth from side to side, Skibbidy picked up on our game and eventually beat me.Did this dog have any interactions with the following? [Dogs ] No InteractionDid this dog have any interactions with the following? [Cats] No InteractionDid this dog have any interactions with the following? [Men ] Positive InteractionDid this dog have any interactions with the following? [Women ] Positive InteractionDid this dog have any interactions with the following? [Children ] Positive InteractionWhat was this dog's activity level? 2-Medium Energy (Alternates rest and play), 4- Regular walking/running buddyHow cuddly was this dog today? 1- Let's get to know each other before cuddling, 2-I'm affectionate with friends, 4-Super snugglerIf this dog met any children on your outing, how would you describe this dog's behavior towards the children? Mostly FriendlyHow did this dog do on a leash? Great on a leash, Some pulling, but manageableDid this dog know any commands? SitWhat is this dog's best quality, in your opinion? He's really sweet and gentleWhat is this dog's worst quality, in your opinion? I would say I love everything about him and I hope someone else does tooSelect any of these apply to the dog's personality: Friendly, Playful, Affectionate, Goofy, PoliteDid this dog have an potty accidents? We were outside all day.Did you see this dog act aggressively toward anyone? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home Skibbidy is a very happy and joyful doggie. He loves attention, grass, and nuggets. I would say he is very smart, gentle, loving and would make a perfect fit for a family that enjoys being comfy but also wouldn't mind sitting on grass with him.Would you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes",True,Skibbidy Bop
82,1209903450900082,A0058243772,L2,L2-OA/JM,,-,M,941010003953375,5/2/2026,65,,Available,01 year(s) 06 month(s) 05 day(s),Dogs 306 B5,https://bit.ly/AdoptCebu,,Strong puller,Has enjoyed interacting with other dogs,Positive interaction,Best with older kids ,Crates are scary!,Still working on it,"Play first, then snuggle time",2-Medium energy,,4/3/2025," White / Brown Terrier, American Pit Bull / Mix",,1:1 Socialization,,"4/26/2025 good body language, a bit stiff but he had a very excited tail wag. seemed interested in playing but maybe a bit undersocialized. would bring out with confident dog to help build confidence ","4/4/2025 VERY nervous. Cowering in the corner of the cage shaking. Snapped at the leash when Ethan attempted to leash him. Used a catch pole to move to 129 and do a partial exam (he was just frozen, never tried to bite or flail). May come around after some time. Needs socialization. 

4/9/2025 Kennel staff asked for help getting Cebu into the interior portion of his run for cleaning. As I approached his kennel he stayed in the front of the kennel with a wagging tail.I opted to leash him, observed some avoidance to the leash. I was able to leash him to the courtyard with no problem besides minor pulling. Once he sniffed around and urinated/defecated he engaged in interaction initially started by myself . As I turned my back he jumped up on me with VERY loose body language with lots of energy eager to  play. Allowed yard time until kennel staff needed to place him back into his run.Once kennel staff was done with run , he was easily leashed from courtyard and walked past kennels with dogs with no reaction. However upon re-kenneling he pulled back on the leash and looked anxious. Opted to re-kennel him outside instead, he was easily re-kenneled and was able to retrieve leash without a problem , seems a bit headshy or some leash reactivity.recommend L2 SF  

4/9/2025 Has come around a bit while in intake but still extremely nervous. Will approach the front of the kennel if someone he knows walks by but still shakes the entire time. We have been able to leash him to move, but he walks very slowly and crouches to the ground. Has not been showing any signs of aggression.  

4/14/2025 Would only approach the door when it was shut at first,when I opened it he would back into the corner and sit. Avoided eye contact and ears stayed back for the most part. Never growled or barked. Sat with him until he let me pet him. Was skeptical of the leash, would retreat into the corner but kept coming back to me for pets and I eventually got the leash on him. Did a lot of sniffing in the yard but would stop and solicit pets periodically. A little hesitant to go back into the kennel but followed me in after some coaxing.

4/19/2025 Cebu does not like the environment may benefit in being in a more calm room (79) once leveled down . He rather sit on the exterior portion of his kennel or in the very back corner. Food/ meds may need to be placed in the back of the kennel. Does not like to be re-kenneled on the inside and will hesitate but will allow you to re-kennel with out incident.

4/20/2025 Volunteer Emily K got Cebu out for photos. She said he was initially a little difficult to leash, but once he got outside he was soliciting attention from me (only met him twice before) and actually jumped up on a volunteer he had never met that approached. Enjoyed being pet and kept sitting in front of me like he wanted more pets. Suggest leveling down to L2 and moving from 200s. Cebu has been out of 200s for some time now, but I wanted to see about leveling him down.  He got right onto my leash when I went to get him and pulled only because he wanted to get out of the hallway with the dogs that were lunging at him.  Once outside, the went to the restroom and then wanted affection and to play.  The only difficult part is getting him back into his kennel.  It is easiest to put him on the back side away from the other dogs barking.  He has been in playgroup and he seemed unsure as if to have never been with dogs before, so he just needed time to figure out how to best socialize with others.  With people, he is more confident now with a gentle approach and he enjoys time out with people. -cw.  Leveling down to L2-SF

7/1/2025 easily handled in the kennel muzzled out of precaution during the intake exam. 

7/8/2025 Took Cebu out to meet a potential adopter, no issues leashing and was easy to harness. He interacted well. The adopter wanted to do a dog test with their personal dog, I brought him outside and had another staff member hold the adopters dog. We were parallel from the other dog and Cebu became very vocal and fixated, I took Cebu out of view of the other dog and tried to redirect his focus and he calmed down, became very wiggly and jumpy. Once I brought him back in view of the other dog he would not look away from the other dog, began growling and lunging towards the dog. The adopter was uncomfortable with Cebu's reaction so we brought him inside. Once we were inside Cebu saw another dog in the lobby, I tried to redirect his attention and he quickly turned towards me and started nipping and yanking/tugging on my clothesChanging stage to L2-OA/JM","6/29/2025 Timestamp 2025-06-29 11:33:24Dog's name: CebuDoes this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain NoHow long have you had this dog? 3 daysThis dog is a Trial Adoption (I was fostering to see if I wanted to adopt.)Why are you bringing this dog back to the shelter today? Not good for small apartmentPlease explain in your own words, why you need to return this dog He’s not good in apartment, does very well with cats and kids , put his teeth on you. Kinda scary if I didn’t know the difference between a bite and a nipWhile in your care, did this dog live with children? YesIf this dog lived with or interacted with children, how old were the children? Yes 12,15How would you describe this dog's behavior towards the children? Mostly Friendly, Jumps On ThemAre there any details about this dog interacting with children that you would like to share? Jumps upIf this dog has had issues with children that include behavior such as growling, snapping, or showing teeth, please describe the circumstance, tell us how often and give as much detail as possible NoneWhat other animals did this dog live with in your home? CatsIf other animals lived in the home, how well did this dog get along with them? Cats , he did greatIf this dog met or played with other dogs please describe their body language: ExcitedHas this dog ever fought with another dog? If yes, please describe the incident IdkHas this dog ever injured another dog? If yes, please describe the incident IdkHow does this dog react when they see a prey animal (squirrel, mouse, bird) or cat outside? Very intriguedHas this dog ever killed a prey animal or pet? If yes, please describe the incident IdkIs there any other information you would like to share about this dog interacting with other animals? NoWhere did this dog spend most of their time? InsideDo you have a fenced yard? NoIf you do not have a fenced yard, do you: Walk the dog on a leashHow did you exercise this dog? WalkingHow often did you exercise this dog? DailyWhat kind of collar did you use for this dog? Buckle collarHow was this dog on a leash? Some pulling, but manageable, Pulls very hardHave you ever taken this dog to a training class? NoWhat commands does this dog know? SitWhich behaviors does this dog need improvement on? Sitting stayWhen the dog played did they typically Jump, Bite lightlyHow long each day was this dog left alone inside your home? Few minutesWhen left inside your home alone, was this dog Able to roam freeWhen this dog was left alone did they show any of the following behaviors? Destroyed household items, Urinated/defecated, Cried, Tried to escape crateIs this dog crate trained? No! (tries to escape, cries, uses the bathroom)How often did this dog have potty accidents in the house? DailyHow often did this dog destroy things other than toys? DailyIf this dog destroys things, is it only when left alone? YesWhat does this dog do when a stranger/visitor comes into the house? LookWhat does this dog do when a stranger tries to pet them? LookWhat does this dog do when you or someone else goes near the food bowl while they are eating? NothingWhat does this dog do when someone tries to take away toys, bones, food, or anything the dog decides is valuable? NothingWhat does this dog do when someone tells them to get off of furniture? LookWhat is this dog's best quality? His sweet faceWhat is this dog's worst quality? UnrinatingCheck all that apply to this dog's personality: Friendly, Independent, Clingy, Playful, AffectionateIn your own words, describe this dog's personality Sweet idkWhat is this dog afraid of? How do they react? IdkAll dogs have sensitive places Under neckHave you seen them act aggressively toward anyone? NoWould you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes",True,Cebu
83,1209944379536427,A0058270657,L1,L1,,,N,941010002366248,4/17/2026,0,,Available,01 year(s) 07 month(s) 02 day(s),Dogs 068 B4,https://bit.ly/adopt-Cheddar,,Walks politely on leash,Has enjoyed interacting with other dogs,,Positive history with kids,,Still working on it,Super cuddler,2-Medium energy,,4/8/2025," White Terrier, American Pit Bull / Mix",,Helper/Greeter,nan,"5/6/2025 curiously greeted dogs in the yard. displayed excited tail wag with lebowski, engaged in tippy-tappy push/pull play. ","4/9/2025 Brought in by ACO on catchpole. Growls & shows teeth when kennel is approached. Very tense muscles & hard staring & stays in the back of the kennel.partial intake completed on catchpole

4/15/2025 Scared to be leashed, once out of his kennel, he was a loose and wiggly playful puppy. Very hungry and can be chompy with treats. Knows basic commands. Super cuddly and playful. Easily leashed in the play yard and re-kenneled without issue.  Rec: L1 and extra feed.

4/15/2025 Scared to be leashed, once out of his kennel, he was a loose and wiggly playful puppy. Very hungry and can be chompy with treats. Knows basic commands. Super cuddly and playful. Easily leashed in the play yard and re-kenneled without issue. Rec: L1 and extra feed. I agree that Cheddar can be leveled to a 1.  Easily leashed and unleashed, fine with body handling, very food motivated, seemed fine walking by other dogs.  Wanted human affection.  -CW","6/24/2025 Timestamp 2025-06-24 19:38:22Dog's name: CheddarAnimal ID #: A0058270657Does this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain CephalonHow long have you had this dog? 3 daysThis dog is a Weekend Warrior (I have had this pet for less than 3 nights as a Weekend Warrior)Did this dog have any interactions with the following while with you? [Dogs ] Positive InteractionDid this dog have any interactions with the following while with you? [Cats] No InteractionDid this dog have any interactions with the following while with you? [Men ] Positive InteractionDid this dog have any interactions with the following while with you? [Women ] Positive InteractionDid this dog have any interactions with the following while with you? [Children ] Positive InteractionHow was this dog on a leash while with you? Great on a leashDoes this dog know any commands? Which ones? SitIn your opinion, what is this dog's best quality? Loving and very sweet. Great balance of calm and goofyIn your opinion, what is this dog's worst quality? NoneCheck all that apply to this dog's personality Friendly, Goofy, Playful, AffectionateIn your own words, describe this dog's personality while out of the shelter Great house guest. Slept while I was working from home, great on leash - very polite loose leash walker, walks right next to you, curious but not destructive, loved playing with his football. Note he had some accidents on the first day but zero accidents once he learned he needed to pee outside.Did this dog have an potty accidents while in your care? Just a couple of accidents.What was this dog's activity level on a scale from 1-4? 2-Medium Energy (Alternates rest and play)Which behaviors does this dog need improvement on, if any? I caught him trying to chew one of my shoes but took it away before he could do any damageHow cuddly is this dog? 3-Play first, then snuggle!How long was this dog left alone? Less than 4 hoursIf you left this dog alone, was it Able to roam freeWhen this dog was left alone did they show any of the following behavior? CriedHave you seen them act aggressively toward anyone while they wee in your care? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home Cheddar is a great dog. Not reactive at all to dogs even when other dogs were barking at him. He had just a couple accidents inside but learned after Day 1 where to go and no accidents after. He gets hot really fast on walks and needs lots of water so make sure he has water and AC. He wasn’t overly energetic even for being 1 year old. He loved sleeping on his bed, loves belly rubs, is curious and follows me around the house. He is scared of stairs, he wouldn’t go down stairs inside the house even with lots of treats and coaxing. But outside stairs are fine.Would you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes

6/30/2025 Timestamp 2025-06-30 18:03:24Dog's name: CheddarAnimal ID #: A0058270657Does this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain No, not during his stay with me.How long have you had this dog? 2 daysThis dog is a Weekend Warrior (I have had this pet for less than 3 nights as a Weekend Warrior)Did this dog have any interactions with the following while with you? [Dogs ] No InteractionDid this dog have any interactions with the following while with you? [Cats] No InteractionDid this dog have any interactions with the following while with you? [Men ] Positive InteractionDid this dog have any interactions with the following while with you? [Women ] Positive InteractionDid this dog have any interactions with the following while with you? [Children ] Positive InteractionHow was this dog on a leash while with you? Some pulling, but manageableDoes this dog know any commands? Which ones? Knows “Sit” and responds to his nameIn your opinion, what is this dog's best quality? Super friendly, cuddly, and very easy to deal withIn your opinion, what is this dog's worst quality? A bit of separation anxiety. He would act out a bit whenever I left the room for a few seconds.Check all that apply to this dog's personality Friendly, Polite, Playful, AffectionateIn your own words, describe this dog's personality while out of the shelter Cheddar is absolutely perfect! He’s very quiet, I barely heard him bark. He’s super duper friendly and he plays great. He’s a perfect mix of energetic/playful and calm. He enjoyed plenty of naps and plenty of playtime in the backyard and in the house with his toys. He didn’t show any aggression at all and behaved well with a 4-year-old in the house. Perfect!Did this dog have an potty accidents while in your care? Just a couple of accidents.What was this dog's activity level on a scale from 1-4? 2-Medium Energy (Alternates rest and play)Which behaviors does this dog need improvement on, if any? Potty Training, Pulling leasheHow cuddly is this dog? 4-Super snugglerWhen this dog played did they typically Bite lightlyHow long was this dog left alone? The dog was not left aloneWhen this dog was left alone did they show any of the following behavior? Cried, Wasn’t left alone but cried when I went to a different room for a quick minuteHave you seen them act aggressively toward anyone while they wee in your care? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home He is actually perfect for a home! He seems to overheat easily and probably prefers to play inside but he plays really well indoors. He is not destructive at all, he is very polite and well-mannered. He lovesss a good cuddle and hug and nap time. He would be a great addition to any home.Would you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes",True,Cheddar
84,1210596699069243,A0058733995,L1,L1,,,F,941010003877093,,49,,Available,02 year(s) 00 month(s) 14 day(s),Clinic Clinic,,,,,,,,,,,6/19/2023,6/18/2025, Black / Brown German Shepherd / Mix,,Pending,,nan,6/19/2025 easily handled while in intake refused to cooperate for HW test flailing and tugging rest of vetting was easily handled.,,True,Skit-ADOPTED
85,1210588576289307,A0058739111,L1,L1,,-,M,941010003885909,6/26/2026,54,,Available,01 year(s) 00 month(s) 28 day(s),Dogs 088 A9,https://bit.ly/Adopt_Gribble,,,,,,,,,,,6/18/2025," Grey / White Terrier, Pit Bull / Mix",,Pending,,nan,"6/19/2025 easily handled while in intake and during exam.

7/6/2025 kennel stressed, painting kennel

7/15/2025 Starting to paint kennel in the AM's ",,True,Gribble
86,1210611015150026,A0058760420,L1,L1,,-,F,941010003891696,,37,,Available,00 year(s) 11 month(s) 18 day(s),Clinic Clinic,,,Walks politely on leash,,,,,,I'm affectionate with friends,,,6/22/2025," Brown / White Terrier, American Pit Bull / Mix",,Pending,,nan,6/23/2025 Easily handled while in intake and during exam. ,,True,Pupcake-ADOPTED
87,1210645273108490,A0058778620,L1,L1,,-,S,941010003781465,7/5/2026,56,,Available,04 year(s) 02 month(s) 24 day(s),Dogs 064 B4,,,Strong puller,,,,,,I'm affectionate with friends,2-Medium energy,6/25/2021,6/25/2025," Grey Terrier, Pit Bull / Mix",,Friendly,nan,"9/9/2025 came in hot, played hard with douglas, vocal. ",6/25/2025 easily handled,,True,Orina
88,1210645215115252,A0058784157,L1,L1,,-,F,941010003832066,,70,,Available,02 year(s) 00 month(s) 07 day(s),Dogs 088 B7,,,,,,,,,,,6/25/2023,6/25/2025,"Brindle Brown / White Mixed Breed, Large (over 44 lbs fully grown) / Mix",,Pending,,nan,6/26/2025 easily handled but very nervous startles easily while in intake easily handled warmed up after a minute out of kennel during exam.Startles easily Signs of stress/fear tense muscles,,True,Philly
89,1210655556416701,A0058789080,L1,L1,,-,M,941010003800284,7/5/2026,51,,Available,01 year(s) 06 month(s) 16 day(s),Dogs 068 B5,,,Pulls some but manageable,,,,,,"Play first, then snuggle time",,,6/26/2025," Brown Cur, Black-Mouth / Mix","Loves toys, Knows basic commands",Pending,,nan,6/27/2025 Easily handled while in intake and during exam.,,True,Fenty-ADOPTED
90,1210655557399601,A0058790478,L1,L1,,-,F,941010003890171,,32,Rescue Pending,Available,00 year(s) 11 month(s) 09 day(s),Dogs 506 B6,,,,,,,,,,,,6/26/2025, Brown / Black Belgian Malinois / Mix,,Pending,,nan,6/28/2025 Easily handled in intake kennel & during exam. ,,True,Palma- ADOPTED!
91,1210655315176431,A0058792223,L1,L1,,-,M,941010003832409,7/5/2026,35,,Available,00 year(s) 09 month(s) 08 day(s),Dogs 066 B4,,,,,,,,,,,,6/26/2025," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,Pending,,nan,6/28/2025 Easily handled.,,True,Safa-ADOPTED
