,AnimalNumberPG,PlayGroup
25,A0056520035,"8/15/2023 Primary Handler:Secondary Handler:Runners:Scribe:Play Style:Sociability Category:Greeter/Helper: Significant Incidents:Notes:kept to self, avoidant, unsure, stiff, aloof   LEGEND: /= called for X= entered PG ACC=acclimate; ANX= anxious; ASV= assertive; B=black; BR= barrier RV; BRI= brindle; BT= bobtail; C= corrections; CD= conflict driven; CE = cropped ears; CPR=cont., play, recover; CT= curly tail; D= defensive; DSP= displaced; F= female; FE= folded ears; FRL= fearful; FT= fight; G= greeter; GD= gentle/dainty; H= helper; HE= high energy; HH= handler helper;HM= hall monitor; IH= in heat; INT = intolerant; KMS= kick me sign; LH= long-haired; M= male; MD = mama dog; MRL= merle; MW= muzzle work; O= offensive; OBX= obnoxious; OC=over-corrects; OLR= on-leash RV; OR= over reacts; OS= surrender; P= puppy; PE = prick ears; PFL= playful; PL= prey-like; PP= push/pull; RD= redirected; RG= resource guarder; RM= roommate; RR=rough/rowdy; RS = ROCK STAR :) ; RV= reactive; S= small dog; SA= separation anxiety; SCI= stimulus control issue; SD= seek/destroy; SE=selective; SM= sexually motivated; SO = social; SS= soundsensitive; ST= stray; T= tolerant; TG= territorial guarding; UD= uninterruptible drive; UNS= unsocialized; UP= unpredictable; V= vocal; W= white; WG= warnings; WH = wire haired; WOS= wary ofstrangers

8/15/2024 Kept to Self playstyle. Avoidant. Unsure. Stiff. Aloof."
26,A0056545695,"3/16/2025 Primary Handler: emilySecondary Handler: gillianRunners: irvinScribe: gillianPlay Style: push/pullGreeter/Helper: Significant Incidents: very social, no direct play. when other dogs in the yard began playing rough she became vocal loose at gate and in yard. didn't greet dogs but was very loose and friendly when dogs did approach. used her as a tester for a while and she did well displaying loose, non-threatening body language at the gate but when a higher energy dog was brought into the yard she began policing, necking, and vocalizing.  "
27,A0056551335,"8/15/2024 Primary Handler:Secondary Handler:Runners:Scribe:Play Style:Sociability Category:Greeter/Helper: Significant Incidents: Steerable, overcorrect   LEGEND: /= called for X= entered PG ACC=acclimate; ANX= anxious; ASV= assertive; B=black; BR= barrier RV; BRI= brindle; BT= bobtail; C= corrections; CD= conflict driven; CE = cropped ears; CPR=cont., play, recover; CT= curly tail; D= defensive; DSP= displaced; F= female; FE= folded ears; FRL= fearful; FT= fight; G= greeter; GD= gentle/dainty; H= helper; HE= high energy; HH= handler helper;HM= hall monitor; IH= in heat; INT = intolerant; KMS= kick me sign; LH= long-haired; M= male; MD = mama dog; MRL= merle; MW= muzzle work; O= offensive; OBX= obnoxious; OC=over-corrects; OLR= on-leash RV; OR= over reacts; OS= surrender; P= puppy; PE = prick ears; PFL= playful; PL= prey-like; PP= push/pull; RD= redirected; RG= resource guarder; RM= roommate; RR=rough/rowdy; RS = ROCK STAR :) ; RV= reactive; S= small dog; SA= separation anxiety; SCI= stimulus control issue; SD= seek/destroy; SE=selective; SM= sexually motivated; SO = social; SS= soundsensitive; ST= stray; T= tolerant; TG= territorial guarding; UD= uninterruptible drive; UNS= unsocialized; UP= unpredictable; V= vocal; W= white; WG= warnings; WH = wire haired; WOS= wary ofstrangers

8/15/2024 Steerable, over corrected

8/24/2024 Primary Handler: Hannah SabanSecondary Handler: Naomi Lawrence Runners: Kate RocheleauScribe: Kate RocheleauPlay Style: SelectiveSociability Category: Selective, over corrects Greeter/Helper: N/ASignificant Incidents:Very stiff, possibly pregnant. Did not engage in play.    LEGEND: /= called for X= entered PG ACC=acclimate; ANX= anxious; ASV= assertive; B=black; BR= barrier RV; BRI= brindle; BT= bobtail; C= corrections; CD= conflict driven; CE = cropped ears; CPR=cont., play, recover; CT= curly tail; D= defensive; DSP= displaced; F= female; FE= folded ears; FRL= fearful; FT= fight; G= greeter; GD= gentle/dainty; H= helper; HE= high energy; HH= handler helper;HM= hall monitor; IH= in heat; INT = intolerant; KMS= kick me sign; LH= long-haired; M= male; MD = mama dog; MRL= merle; MW= muzzle work; O= offensive; OBX= obnoxious; OC=over-corrects; OLR= on-leash RV; OR= over reacts; OS= surrender; P= puppy; PE = prick ears; PFL= playful; PL= prey-like; PP= push/pull; RD= redirected; RG= resource guarder; RM= roommate; RR=rough/rowdy; RS = ROCK STAR :) ; RV= reactive; S= small dog; SA= separation anxiety; SCI= stimulus control issue; SD= seek/destroy; SE=selective; SM= sexually motivated; SO = social; SS= soundsensitive; ST= stray; T= tolerant; TG= territorial guarding; UD= uninterruptible drive; UNS= unsocialized; UP= unpredictable; V= vocal; W= white; WG= warnings; WH = wire haired; WOS= wary ofstrangers"
28,A0056593214,nan
29,A0056878500,nan
30,A0056934062,"10/16/2024 Primary Handler: NaomiSecondary Handler: GillianRunners: EmilyScribe: CarolinePlay Style: gentle daintySociability Category: socialGreeter/Helper: n/aSignificant Incidents: nonedisplayed good gate greetings, steerable, gave proper corrections, overwhelmed in the yard."
31,A0057066775,1/20/2025 Dino was in the yard with Monsoon for assessments. A little stiff with Monsoon but eventually engaged in play. Dino has a very vocal but independent play style. Recommend starting in GD but could go to RR.
32,A0057072729,"2/24/2025 Atlas was tested with Ralph and Lauren. He was leash biting in the pen but Iza did a good job managing it. He had good gate greetings and was very steerable. He is a high energy player, watch for equipment biting. Would benefit greatly from coming to a RR playgroup."
33,A0057161815,"2/2/2025 Bellini was in for assessments with Reno. Very stiff and vocal at the gate but loose, low tail wags shown. Much more blustery at the gate and more timid in the yard. Cannot be in PG with Martini due to bond. Recommend for GD PG with plenty of support."
34,A0057252718,"1/5/2025 Primary Handler: Lisa JonesSecondary Handler: Kaitlin TantRunners: Emily King, Laura Hall, Grace Pfohl, Monica Ramos, Iza PerezScribe: Kaitlin Tant Play Style: RRSociability Category: SocialGreeter/Helper: PotentiallySignificant Incidents: NoneDove was out for assessments with Nico Nico and Cruella and had great gate greeting. She was very playful with Cruella but did a great job of switching energy and reading the room with Nico Nico to give him more space. She really enjoyed running around with Cruella and we would potentially recommend as helper/greeter. Recommend RR playgroup 

1/7/2025 Playgroup 1/7: Dove came in hot to the mix of R&R/GD playgroup. She was very energetic and playful, definitely leaning more towards the R&R crew. She was corrected by other dogs who did not like her energy. 

2/18/2025 used her as a tester dog with alaskan bull worm. ABW had crazy zoomies which drove up dove's energy. they ran around playing hard for a while before we began assessing dogs. dolf entered the yard loose and chased ABW and dove. he was catching up to dove and pawed at her butt when dove grabbed his face. it appeared playful, but she pulled at his skin as he was moving away from her, resulting in a slight puncture. i opted to hold onto dove's leash and once dolf was out of the yard, she continued to play with ABW but then began nipping at his neck/face. appeared to become over stimulated, would not recommend to continue as a tester dog. "
35,A0057256931,"2/4/2025 Primary Handler: gillianSecondary Handler: amberRunners: ashley l, deshay, makaylaScribe: mariPlay Style: inc.Sociability Category: offensive aggGreeter/Helper: n/aSignificant Incidents: tried to mount monsoon and reno non stopgood gg, not steerable, very sexually motivated, high energy, fixated on mounting. might do better with dogs that correct or reintro to a few dogs to reduce hyperfixation upon entrance"
36,A0057257626,2/20/2025 Solo was tested with Lauren and Ralph. He had good gate greetings and came in ready to play! he is a vocal player with push pull tendencies but can hang in a RR crowd. 
37,A0057301164,1/26/2025 Barnabas Basil was out for assessments with Alaskan Bull Worm and Reno. Barnabas wants to engage in play with dogs that do not want to play with him and vice versa. Extremely steerable at the gate. Hall monitor who likes to issue vocal corrections. Recommend GD 
38,A0057303592,"2/17/2025 Gretchen was tested with Simba and Dove. She came in hot with a lot of OA energy, prefers males, easily overstimulated and has the potential to over correct. Has a RR play style but we would not feel comfortable bringing her back into playgroups. Could live with another dog given slow intros. 

3/18/2025 reassessmenttested with L and ralph. ralph was removed from the yard to allow gretchen to interact with L, a lower energy dog. gretchen came in ready to play and was bouncing all around the yard. ralph was allowed into the yard and gretchen immediately began playing with him. she is a very hard player, but definitely displayed some over arousal behavior. i don't believe she would tip and behave poorly, i believe she would greatly benefit from going out to playgroup as frequently as possible to reduce over arousal behavior. would bring to small rough/rowdy group with bombproof dogs"
39,A0057327449,nan
40,A0057331299,"1/5/2025 Primary Handler: Lisa JonesSecondary Handler: Kaitlin TantRunners: Emily King, Laura Hall, Grace Pfohl, Monica Ramos, Iza PerezScribe: Kaitlin Tant Play Style: RRSociability Category: SocialGreeter/Helper: NoSignificant Incidents: NoneFrappe was in the play yard with Cruella, Nico Nico, and Nevada. Had good gate greetings, a good play bow, and started off appropriately playful. Frappe escalated to some leg biting for both Cruella and Nico Nico but did a good job of respecting Nevada's need for space. Frappe really wanted to play with Cruella. Recommend for RR playgroup and be mindful of potential leg biting

1/7/2025 Playgroup 1/7: Some barrier reactivity seen when in the pen before entering the play yard, some crouching & barking/mild snarling. Once she entered the play yard with R&R group (Monsoon, Calibri, Yeet, Baby Yoda), she initially seemed a littler overwhelmed. Once she acclimated, she was funny and running around, being chased, very vocal. She was frustrated with gate greetings of other dogs entering the yard. She was in for a long time but when Fruit Loop entered the yard, he was also vocal and they were too much together so both were removed. "
41,A0057425727,"2/17/2025 Lonnie was tested with Simba and Dove. He was highly steerable and high energy with a RR playstyle. He really enjoyed playing with Dove. 

2/24/2025 High sex drive, fixated and slightly mouthy"
42,A0057439713,1/20/2025 Kendrick was in for assessments with Monsoon. He had good gate greetings and steerable at the gate. Kendrick is very sexually motivated but has an independent play style. Recommend GD for PG
43,A0057442724,"2/23/2025 Kevin was in for assessments with Ralph and Lauren. Kevin had good gate greetings and was steerable at the gate. Immediately engaged with Ralph upon entering the yard and handlers (Kaitlin and Emily) used spray bottles but there was no correction issued by Ralph. Kevin appeared to be a little fixated on Ralph so Ralph was removed from the yard and Kevin still did not engage with Lauren. Kevin did not exhibit negative body language (e.g. pinned ears) but just remained fixated on Ralph. Recommend re-test with different dogs 

3/6/2025 Marking as inconclusive because he gave an overcorrection in the yard, would retested with GD dogs to see if that's more his speed. He was steerable and was more interested in a toy/the leash than being around the dogs in the pen. "
44,A0057455043,1/20/2025 Pen was out for assessments with Alaskan Bull Worm and Baby Yoda. Good gate greetings and steerable at the gate. Extremely tolerant of Baby Yoda's energy and she never issued a correction. Start in GD playgroup 
45,A0057471755,"3/6/2025 Jean was tested with Kettle Corn and Picaboo. She was semi steerable and entered the yard with her hackles up, immediately mounted KC and we quickly removed her. Retest with kennel. "
46,A0057478759,"1/1/2025 Tried to bring Kathy into the yard but she didn't come pass the pen: full hackles up, hard staring, very stiff body. Was tested with Hutch and Cruella.

3/8/2025 retested in playgroup - tested w gin and omni. stiff at gate, steerable, once in yard showed interest in greeting gin. omni began jumping on kathy and kathy was tolerant of the energy but didn't reciprocate so omni was removed. kathy was content to co exist in yard with gin, no play observed. gentle/dainty"
47,A0057500992,"1/1/2025 Princess was very unsure in the yard, she would do best in a gentle dainty yard with more neutral relaxed dogs that allow her to keep to self and unless she engages. Overall shy and needs to gain confidence. Did not witness her correcting. She was in the yard with Hutch and Cruella."
48,A0057510470,"1/1/2025 Primary Handler: Lisa JonesSecondary Handler: Kaitlin TantRunners: Jeremiah Lawson, Grace Pfohl, Allison Gainza, Tonia GreggScribe: Jan Riddle Play Style: GDSociability Category: TolerantGreeter/Helper: Hutch and WoneSignificant Incidents: NoneChingy was out for assessments on 12/30/24. He was loose at the gate and had a wagging tail in the yard. Had moments of avoidance but largely tolerant of the tester dogs 

1/1/2025 Primary Handler: Naomi LawrenceSecondary Handler: Clare SpechtRunners: Kaitlin Tant, Lisa Jones, Melia Ehnert, Stephanie Ehnert, Jesse Ehnert, Allison Gainza, Valerie Berry Scribe: Jan Riddle Play Style: GDSociability Category: TolerantGreeter/Helper: NoneSignificant Incidents: NoneChingy was in PG on 12/31/24. His tail was wagging but he did bare teeth and wanted a big space bubble. He was uncomfortable with 2 dogs sniffing up close but after some time voluntarily went to sniff Cruella "
49,A0057572441,"2/22/2025 Primary Handler: chaseSecondary Handler: ashley lRunners: q, ashley hScribe: gillianPlay Style: gentle/dainty - could join push/pull group w more introsSociability Category: socialGreeter/Helper: noSignificant Incidents: bouncy, did not appreciate face play with abw and mimo. liked to run around with them as long as there was no contact. the longer she was in the yard the more she loosened up. would definitely recommend her to go to playgroup often for socialization/building confidence

2/24/2025 Hackles up, stiff with the wrong dog which could lead to possible fight. Pushes dogs' past threshold. Not a fair player"
50,A0057639779,"3/11/2025 Primary Handler: gillianSecondary Handler: brittanyRunners: deshay, amari, devaunteScribe: amberPlay Style: gentle/daintyGreeter/Helper: greeterSignificant Incidents: confident gal. loose at gate and in yardtolerant of magic's attempts to play rough but didn't engage. preferred to walk around the yard and watch magic and ralph play. maintained loose body language throughout assessment, very inviting behavior.  

nan"
51,A0057639835,"2/17/2025 Angelina Dogee was tested with Dove and Simba. She seemed to be steerable in the pen but was not once she entered the yard with the water bottle or the shaker can. She was whale eyed, fixated and necking. Not comfortable with bringing her back to play groups but think she could coexist in a home with dogs with slow intros.  "
52,A0057656410,"3/1/2025 Primary Handler: chaseSecondary Handler: ashley lRunners: india, kekeScribe: gillianPlay Style: push/pullSociability Category: socialGreeter/Helper: noSignificant Incidents: offered appropriate greetings once in yard, when approached by ralph she would engage in play but didn't match his energy, preferred to play indirectly. tolerant of being body bumped. "
53,A0057663603,"3/18/2025 Primary Handler: amberSecondary Handler: emilyRunners:Scribe:Play Style: gentle/daintyGreeter/Helper: Significant Incidents: neutral in yard, slight hackle raise on rear, loosened with timeshook it off in yard, very chill, helicopter tail when greeting dogs, tolerant of dogs being nearby and tolerant of ralph being a heat seeking missile "
54,A0057673945,2/23/2025 Addie was assessed with Ralph and Lauren - she displayed body language like she really wanted to play at the gate and was very steerable in the yard. She has an independent play style and did not engage in any amount of play with Ralph or Lauren. Recommend bringing her into a GD yard 
55,A0057747654,"2/22/2025 Primary Handler: chaseSecondary Handler: ashley lRunners: q, ashley hScribe: gillianPlay Style: push/pullSociability Category: social Greeter/Helper: noSignificant Incidents: mouthy when excited- doesn't bite down. may need to be first into group to allow her to acclimate before adding more dogs. was overwhelmed when initially in yardcame into yard hot, tried to play with handler. when approached by other dogs she was initially fearful but would break to play bow and then bounce around. awkward initially but loosened up and was in love with lauren and besties with abw and wonton. "
56,A0057749805,"2/7/2025 Primary Handler: amberSecondary Handler: chaseRunners: brittany, makaylaScribe: ashley lPlay Style: push/pullSociability Category: socialGreeter/Helper: greeterSignificant Incidents: very submissive to other dogsengaged in push/pull play with dogs in the yard. appeared flighty, ran around yard when dogs approached, would attempt to engage in play by nose jabbing other dogs but then would run away. recommend gentle/dainty group, poss. rough/rowdy when comfortable

3/19/2025 lakemont was so much fun to watch. he was wiggly, offered tons of play bows, and liked to give face licks."
57,A0057774743,"2/4/2025 Primary Handler: gillianSecondary Handler: amberRunners: ashley l, deshay, makaylaScribe: mariPlay Style: gentle/dainty, adaptiveSociability Category: socialGreeter/Helper: greeterSignificant Incidents: adapted play style by energy of other dogssteerable, good gg, shy, needed time to warm up, showed rough/rowdy play when reno interacted w her directly, otherwise just watched dogs play

2/5/2025 Primary Handler: amberSecondary Handler: chaseRunners: brittany, makaylaScribe: ashley lPlay Style: push/pullSociability Category: socialGreeter/Helper: greeter (adaptable)Significant Incidents: retested to determine helper/greeter placement - great greeter dogpush/pull play, vocal"
58,A0057776766,"3/4/2025 Primary Handler:ashley loveSecondary Handler:gillianRunners:devaunte, brittanyScribe:makaylaPlay Style:gentle/daintySociability Category: labeled social - he did not react negatively towards ralph or lauren, but appeared uncomfortable with ralph's attempts to playGreeter/Helper: Significant Incidents: head shy when placing leash on. when i approached him and showed him the collar he began licking my hand and turned his head to continue licking my hand as i attempted to place the collar on him. very fearful in yard even with gentle dainty greeterNotes:tiger kept tail tucked, but coexisted well with lauren. removed ralph prior to tiger's entrance to yard, energy would have been overwhelming. would recommend interactions with a gentle/dainty dog and see if he opens up before bringing him to group.  

5/20/2025 low threshold for play/gets tired easily. can be used as helper/greeter for short periods"
59,A0057801258,"nan

nan"
60,A0057806990,"3/3/2025 Tiana was tested with Ralph and Lauren. She was not steerable in the pen and was slightly steerable in the yard with the shaker, very nervous but curious. When corrected she got stiff and whale eyed. Would not bring to PG. "
61,A0057820399,nan
62,A0057820720,"3/4/2025 Primary Handler:ashley loveSecondary Handler:gillianRunners:devaunte, brittanyScribe:makayla Play Style:gentle/daintySociability Category:Greeter/Helper: Significant Incidents:came in hot, tensed up with ralph, loosed up with lauren. handler oriented, insecure in interactions with dogs. potential to be push/pull player, she was very playful by herself and when interacting with staff. would start with gentle dainty group to build confidence 

3/6/2025 ES was tested with Ralph and Rainbow and she really enjoyed playing with them. She had loose body language, was steerable and wanted to play. Could see her being adaptive with play styles but she was showing PP tendencies. "
63,A0057821053,"3/14/2025 has been out to playgroup before - did not input note as i thought he had a playgroup note in.  was brought out to playgroup on 03/12, displayed full body hackles and stiffened at the gate. there was a handful of higher energy dogs in the yard that may have been off-putting.  was officially tested today. interacted with goofy and magic. body language remained alert throughout assessment, tolerant of rough play although did not play for extended period of time to determine if he had a threshold. would bring to gentle/dainty group initially to get a better read on his preference for energy/type of play"
64,A0057824667,"3/8/2025 Primary Handler: chaseSecondary Handler: ashley lRunners: arisha, brittanyScribe: gillianPlay Style: push/pullGreeter/Helper: Significant Incidents: wants to play, but very fearful. spent a lot of time crawling or exposing his bellytested w gin & magic. very interested in being friends with gin and was tolerant of magic's high energy. displayed slight play bow and fast wagging tail when magic bounced around him, but he would switch between being interested in playing to being fearful and staying low to the ground. "
65,A0057877022,nan
66,A0057885171,"3/8/2025 Primary Handler: chaseSecondary Handler: ashley lRunners: arisha, brittanyScribe: gillianPlay Style: gentle/daintyGreeter/Helper: Significant Incidents: reactive at gate, calmed once magic (r/r) was removed from yardok to co-exist with gin, but didn't ever greet him face to face. when he approached her she got stiff, side eyed, and licked her lips. she spent about 10 minutes in the yard and eventually loosened to where gin could walk by and she did not tense up, didn't interact beyond that. "
67,A0057918810,3/16/2025 very sexually motivated. reassess after nx
68,A0057942396,"3/14/2025 high sex drive, reassess after nx

3/18/2025 not steerable - needs retest"
69,A0057949153,nan
70,A0058031872,"3/20/2025 3/20/2025 SP - very scared, submissive, tail was tucked, was nervous.  Slow tail wags later."
71,A0058252089,nan
72,A0058328283,"nan

nan"
73,A0058455126,"5/30/2025 adaptive, playful, engaging, tolerant. confident with other dogs, a bit shy with people but manageable"
74,A0058483232,nan
75,A0058627915,nan
76,A0058838236,nan
77,A0058853857,nan
78,A0058886517,nan
79,A0058900098,8/13/2025 see play style assessment note - can coexist with dogs but prefers no direct interactions. 
80,A0058900557,nan
81,A0058901520,nan
82,A0058932264,"9/20/2025 can become overstimulated in yard, needs to go out with tolerant dogs of similar energy only"
83,A0058937667,nan
84,A0058940286,nan
85,A0058952168,"8/13/2025 see play style assessment note. did fine co-existing with a big group, but attempted a few times to chase down and stand over a few of the dogs. he showed interest in chasing after dogs while displaying looser body language and no growling/attempts to stand over them, but he was attacked by adam and may need some 1:1 sessions to determine overall dog sociability. "
86,A0058953982,nan
87,A0058956070,nan
88,A0058961127,nan
89,A0058962398,nan
90,A0058964897,nan
91,A0058970953,nan
92,A0058978092,nan
93,A0058998237,"8/13/2025 see play style assessment note; initially did well in playgroup but then went after and injured 2 dogs.. the 2 dogs in question displayed offensive behavior toward adam, so his reaction wasn't unjustified, but was an overreaction. needs muzzle for next playgroup. would like to determine if he is selective or offensively aggressive."
94,A0058999057,nan
95,A0059006048,nan
96,A0059010208,"nan

nan"
97,A0059023440,nan
98,A0059023830,nan
99,A0059028091,nan
100,A0059031231,"nan

nan"
101,A0059042315,nan
102,A0059047525,8/29/2025 didn't seek out interactions with other dogs but did very well picking her moments to engage and be playful or just sit back and observe. 
103,A0059053506,"9/20/2025 plays very rough, may not be well-received by other dogs intolerant of that type of play. bring to PP yard only"
104,A0059055459,8/13/2025 see play style assessment note. takes corrections without argument and greeted every dog nicely. 
105,A0059068647,nan
106,A0059068907,nan
107,A0059069720,nan
108,A0059076505,nan
109,A0059077476,nan
110,A0059080810,9/22/2025 gets growly and very invasive when playing - needs to go out with tolerant physical players
111,A0059083921,"nan

nan"
112,A0059095523,nan
113,A0059095840,nan
114,A0059096501,nan
115,A0059100213,nan
116,A0059101291,nan
117,A0059101512,nan
118,A0059102424,nan
119,A0059104668,"8/29/2025 no interest in playing with other dogs, quick to correct if a dog did try to play with her. totally fine to exist in the yard even as other dogs were playing, but she was intolerant of any direct engagement. "
120,A0059106761,"nan

nan"
121,A0059106772,"nan

8/26/2025 greeter"
122,A0059114517,nan
123,A0059117627,nan
124,A0059117737,nan
125,A0059121452,nan
126,A0059121809,nan
127,A0059123537,nan
128,A0059123747,nan
129,A0059187326,"nan

nan"
130,A0059187897,8/29/2025 intolerant of high energy play. does well with gentle players
131,A0059188328,nan
132,A0059191607,nan
133,A0059193088,nan
134,A0059193435,nan
135,A0059199426,nan
136,A0059201506,nan
137,A0059201841,nan
138,A0059209048,nan
139,A0059212950,9/20/2025 appears undersocialized/insecure. would bring to GP or tag yard
140,A0059214231,nan
141,A0059217133,nan
142,A0059218046,nan
143,A0059223836,nan
144,A0059224207,nan
145,A0059224903,nan
146,A0059225099,"9/20/2025 see play style assessment note; intol. of high energy dogs, may not benefit from pg? try in LP yard"
147,A0059226845,nan
148,A0059229518,9/20/2025 bring her out to a cafe style yard so she can enjoy herself
149,A0059230047,"9/20/2025 hard to really tell how social she is with other dogs because she wasn't interested but also not bothered, just kept looking for Pawn."
150,A0059230076,"9/21/2025 hard to really tell how social she is with other dogs because she wasn't interested but also not bothered, just kept looking for Pawnee."
151,A0059238550,nan
152,A0059245257,nan
153,A0059246410,nan
154,A0059247670,"nan

nan"
155,A0059250440,"nan

nan"
156,A0059253592,nan
157,A0059253890,"nan

nan"
158,A0059253900,nan
159,A0059255827,nan
160,A0059257262,nan
161,A0059258383,"nan

nan"
162,A0059258400,nan
163,A0059259739,nan
164,A0059261154,"nan

nan"
165,A0059261659,"nan

nan"
166,A0059265066,nan
167,A0059265558,nan
168,A0059265664,9/21/2025 see play style assessment note; would likely benefit from social interactions with lower energy/neutral dogs
169,A0059267031,nan
170,A0059267035,nan
171,A0059267774,nan
172,A0059269284,nan
173,A0059269457,nan
174,A0059270667,nan
175,A0059273417,"9/12/2025 see play style assessment note; can be a policer, should go out with dogs that are tolerant of that behavior/vocality. "
176,A0059273664,"9/12/2025 see play style assessment - loves to play rough, doesn't adjust to whatever dog he's interacting with and is not very steerable. should only go out with dogs that like physical play"
177,A0059275098,nan
178,A0059275363,nan
179,A0059275577,nan
180,A0059276909,nan
181,A0059276979,"nan

nan"
182,A0059277630,"nan

nan"
183,A0059280210,nan
184,A0059285580,nan
185,A0059286155,nan
186,A0059286171,9/20/2025 can be a policer - may need support in the yard to avoid conflict
187,A0059290504,nan
188,A0059295669,nan
189,A0059296351,nan
190,A0059298192,nan
191,A0059300610,nan
192,A0059300947,nan
193,A0059301016,nan
194,A0059301693,9/12/2025 see play style assessment note; appears intolerant of higher energy dogs. needs to go out with lower energy dogs only
195,A0059302714,nan
196,A0059303488,nan
197,A0059305120,nan
198,A0059305155,"9/16/2025 see play style assessment note; may benefit from additional interactions with dogs, did fine coexisting but overcorrected a dog during a minor interaction"
199,A0059307815,nan
200,A0059309162,"nan

nan"
201,A0059312621,nan
202,A0059315135,nan
203,A0059317990,nan
204,A0059322059,nan
205,A0059322064,nan
206,A0059327037,nan
207,A0059330167,"9/12/2025 updated from defensive after retest; vocal and conflict driven, would do best in LP yard"
208,A0059330401,nan
209,A0059331165,nan
210,A0059332683,"9/20/2025 see case notes for info on leveling; incident was circumstantial. did well during assessment, needs support when brought out for PG"
211,A0059333929,"9/20/2025 bring out to group first!! did well with dogs but becomes nervous, needs time to greet each dog and get comfortable before doing ok in group setting"
212,A0059337825,nan
213,A0059342195,"nan

nan"
214,A0059343758,"nan

nan"
215,A0059346587,nan
216,A0059346628,"nan

nan"
