,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed,parent gid,parent completed
184,1211061539142969,A0059113762,L1,L1,,-,M,,,23,,Available,08 year(s) 00 month(s) 11 day(s),Foster Friendly Finder,,,,,,,,,,,,,,,,,,,,False,1211061578683231,True
205,1211061445032897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211061447398961,True
208,1211061446898058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211061537533787,True
211,1211051636733846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211051749169623,True
218,1211051744497542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211051634649849,True
219,1211051783927736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211051782710092,True
222,1211041696166086,A0059090902,L1,L1,,+,F,,,34,,Adopted,00 year(s) 10 month(s) 12 day(s),Dogs 068 B5,,,,,,,,,,,,,,,,,,,,False,1211041348986255,True
226,1211030180558595,A0059090073,L1,L1,,-,S,,,19,,Available,00 year(s) 04 month(s) 13 day(s),Dogs 602 C4,,,,,,,,,,,,,,,,,,,,False,1211030047918209,True
227,1211030271854247,A0059088383,L1,L1,,-,M,,,10,,Stray Wait,01 year(s) 06 month(s) 07 day(s),Foster Friendly Finder,,,,,,,,,,,,,,,,,,,,False,1211030181259947,True
243,1210993991371039,A0059056078,L1,L1,,-,N,,,37,,Available,00 year(s) 10 month(s) 19 day(s),Foster Friendly Finder,,,,,,,,,,,,,,,,,,,,False,1210993876289509,True
245,1210993879650744,A0059055418,STAFF ONLY,STAFF ONLY,,-,N,,,57,,Cites,03 year(s) 00 month(s) 19 day(s),Dogs 201 1,,,,,,,,,,,,,,,,,,,,False,1210993881061650,True
250,1210956513388767,A0059032636,L1,L1,,-,M,,,11,,Available,04 year(s) 00 month(s) 23 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1210956513313521,True
271,1210842373453273,A0058945418,L1,L1,,-,S,,,37,,Trial Adoption,01 year(s) 01 month(s) 04 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210842373693941,True
278,1210807084245959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210807086917174,True
292,1210748243432876,A0058866574,L1,L1,,-,S,,,23,,Trial Adoption,00 year(s) 08 month(s) 16 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210747946863574,True
297,1210721775111424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721860145270,True
298,1210721740273363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721775147162,True
300,1210721740188163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721860037921,True
301,1210721775056258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721774881880,True
302,1210721775084874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721775147095,True
303,1210713479097929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210713626855453,True
305,1210634287487049,A0058773401,L1,L1,,-,N,,,8,,Trial Adoption,02 year(s) 02 month(s) 00 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210634289662078,True
356,1210324217511556,A0058529024,L1,L1,,-,S,,,63,,Available,04 year(s) 03 month(s) 05 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1210324248004030,True
471,1211145514780344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211145821532393,True
487,1211134865721052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211134526884726,True
495,1211134865464402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211134527800291,True
503,1211131257487633,A0059226693,L2,L2-SF,,-,N,,,60,,Microchip,None,Dogs 303 A4,,,,,,,,,,,,,,,,,,,,False,1211131257383004,True
531,1211128175188068,A0059218081,L1,L1,,-,F,,,7,,Available,02 year(s) 00 month(s) 03 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1211128175216464,True
537,1211128449546331,A0059217339,L1,L1,,-,N,,,11,,Stray Wait,01 year(s) 00 month(s) 03 day(s),Dogs 502 C2,,,,,,,,,,,,,,,,,,,,False,1211128449503913,True
538,1211128280570836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128449359598,True
541,1211128175064764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128449402880,True
542,1211128449412047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128448755606,True
543,1211128175060596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128280196759,True
547,1211119355610246,A0059211824,L1,L1,,-,M,,,7,,Microchip,04 year(s) 00 month(s) 04 day(s),Dogs 068 C1,,,,,,,,,,,,,,,,,,,,False,1211119631105947,True
549,1211119510971964,A0059215210,L1,L1,,-,M,,,17,,Stray Wait,01 year(s) 06 month(s) 03 day(s),Dogs 064 A1,,,,,,,,,,,,,,,,,,,,False,1211119510230624,True
564,1211109320622650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211109218126892,True
569,1211109320594510,A0059208023,L1,L1-RN,,-,M,,,26,,Identifying Info,04 year(s) 00 month(s) 04 day(s),Dogs 079 A5,,,,,,,,,,,,,,,,,,,,False,1211109348343235,True
571,1211109320200496,A0059205432,L1,L1,,-,M,,,82,,Stray Wait,03 year(s) 00 month(s) 05 day(s),Dogs 401 8,,,,,,,,,,,,,,,,,,,,False,1211109320043250,True
577,1211109350160084,A0059204484,L1,L1,,-,F,,,23,,Microchip,05 year(s) 00 month(s) 04 day(s),Dogs 079 A1,,,,,,,,,,,,,,,,,,,,False,1211109317897240,True
579,1211109317967030,A0059196963,L1,L1,,-,F,,,42,,Adopted,01 year(s) 00 month(s) 05 day(s),Flex 85,,,,,,,,,,,,,,,,,,,,False,1211109219209280,True
585,1211098092722779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211098025626941,True
589,1211098117336813,A0059195704,L1,L1,,-,M,,,11,,Adopted,None,Clinic Clinic,,,,,,,,,,,,,,,,,,,,False,1211098025742263,True
597,1211087277240440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211087329670730,True
616,1211072250055274,A0059124885,L2,L2-BH,,-,S,,,16,,Adopted,05 year(s) 00 month(s) 08 day(s),Small Animals 4,,,,,,,,,,,,,,,,,,,,False,1211072316902710,True
618,1211072316609024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211072316575068,True
625,1211072316388571,A0053616553,L1,L1    A878732,,+,M,,,55,,Available,05 year(s) 07 month(s) 29 day(s),Dogs 506 B7,,,,,,,,,,,,,,,,,,,,False,1211072215101444,True
633,1211069988586496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211070094978679,True
636,1211069988629019,A0059116111,L2,L2-BH,,-,M,,,14,,Identifying Info,02 year(s) 00 month(s) 09 day(s),Clinic Clinic,,,,,,,,,,,,,,,,,,,,False,1211070094672196,True
642,1211061539142991,A0059113762,L1,L1,,-,M,,,23,,Available,08 year(s) 00 month(s) 11 day(s),Foster Friendly Finder,,,,,,,,,,,,,,,,,,,,False,1211061578683231,True
669,1211061447443387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211061447398961,True
672,1211061447330156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211061537533787,True
681,1211051636733868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211051749169623,True
691,1211051748975531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211051634649849,True
694,1211051784471587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211051782710092,True
706,1211041339867977,A0059095126,L1,L1,,-,F,,,27,,Available,00 year(s) 07 month(s) 12 day(s),Dogs 068 B2,,,,,,,,,,,,,,,,,,,,False,1211041339424906,True
710,1211041696166108,A0059090902,L1,L1,,+,F,,,34,,Adopted,00 year(s) 10 month(s) 12 day(s),Dogs 068 B5,,,,,,,,,,,,,,,,,,,,False,1211041348986255,True
719,1211030183373918,A0059090073,L1,L1,,-,S,,,19,,Available,00 year(s) 04 month(s) 13 day(s),Dogs 602 C4,,,,,,,,,,,,,,,,,,,,False,1211030047918209,True
721,1211030271854265,A0059088383,L1,L1,,-,M,,,10,,Stray Wait,01 year(s) 06 month(s) 07 day(s),Foster Friendly Finder,,,,,,,,,,,,,,,,,,,,False,1211030181259947,True
744,1211014873971951,A0059076443,L1,L1,,-,F,,,75,,Available,05 year(s) 00 month(s) 16 day(s),Clinic Clinic,,,,,,,,,,,,,,,,,,,,False,1211015221633091,True
770,1210993992006650,A0059056078,L1,L1,,-,N,,,37,,Available,00 year(s) 10 month(s) 19 day(s),Foster Friendly Finder,,,,,,,,,,,,,,,,,,,,False,1210993876289509,True
774,1210993881147343,A0059055418,STAFF ONLY,STAFF ONLY,,-,N,,,57,,Cites,03 year(s) 00 month(s) 19 day(s),Dogs 201 1,,,,,,,,,,,,,,,,,,,,False,1210993881061650,True
794,1210959845776807,A0053589757,L1,L1,,-,S,,,33,,Available,12 year(s) 07 month(s) 06 day(s),Receiving 129 K1,,,,,,,,,,,,,,,,,,,,False,1210959872571037,True
799,1210956513545369,A0059032636,L1,L1,,-,M,,,11,,Available,04 year(s) 00 month(s) 23 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1210956513313521,True
829,1210923745636438,A0059006699,L2,L2 - OA,,-,M,,,42,,Priority,01 year(s) 00 month(s) 26 day(s),Dogs 068 A2,,,,,,,,,,,,,,,,,,,,False,1210923618834361,True
851,1210912259222672,A0058991484,L1,L1,,-,N,,,40,,Available,00 year(s) 10 month(s) 29 day(s),Dogs 501 6,,,,,,,,,,,,,,,,,,,,False,1210912476507890,True
857,1210894317709469,A0058981944,L2,L2-SF,,-,F,,,29,,Available,00 year(s) 07 month(s) 30 day(s),Dog Quarantine B1,,,,,,,,,,,,,,,,,,,,False,1210894044159700,True
875,1210875313876924,A0058955017,L1,L1,,-,N,,,53,,Available,00 year(s) 10 month(s) 02 day(s),Dogs 603 A2,,,,,,,,,,,,,,,,,,,,False,1210875370727429,True
891,1210842375376812,A0058945418,L1,L1,,-,S,,,37,,Trial Adoption,01 year(s) 01 month(s) 04 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210842373693941,True
900,1210838875635615,A0058943248,L1,L1,,-,M,,,40,,Available,01 year(s) 01 month(s) 05 day(s),Dogs 406 B7,,,,,,,,,,,,,,,,,,,,False,1210838770392391,True
921,1210807087631409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210807086917174,True
940,1210781089575918,A0058886275,L2,L2-SF,,-,S,,,42,,Trial Adoption,03 year(s) 01 month(s) 13 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210780960211874,True
943,1210778572464468,A0058889019,L1,L1,,-,S,,,48,,Available,00 year(s) 11 month(s) 13 day(s),Dogs 068 A5,,,,,,,,,,,,,,,,,,,,False,1210778620368250,True
956,1210769910704878,A0058786151,L2,L2 - SF,,+,F,,,49,,Priority,03 year(s) 01 month(s) 14 day(s),Dogs 402 3,,,,,,,,,,,,,,,,,,,,False,1210769774447610,True
964,1210748243684669,A0058866574,L1,L1,,-,S,,,23,,Trial Adoption,00 year(s) 08 month(s) 16 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210747946863574,True
968,1210748243303077,A0058855570,L1,L1,,-,N,,,51,,Available,01 year(s) 00 month(s) 17 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1210748020560897,True
977,1210736934303203,A0058853970,L1,L1,,-,M,,,53,,Priority,04 year(s) 01 month(s) 18 day(s),Dogs 401 4,,,,,,,,,,,,,,,,,,,,False,1210736934231104,True
985,1210721775084896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721775147095,True
987,1210721740188185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721860037921,True
988,1210721740273385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721775147162,True
989,1210721775111446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721860145270,True
990,1210721775167946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721774881880,True
993,1210713479097951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210713626855453,True
1006,1210667373045424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210667372876276,True
1011,1210655556398124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210655315080377,True
1016,1210634289763805,A0058773401,L1,L1,,-,N,,,8,,Trial Adoption,02 year(s) 02 month(s) 00 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210634289662078,True
1018,1210634406677264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210634722030362,True
1046,1210577922566411,A0058725961,L2,L2-SF/BR,,-,N,,,43,,Trial Adoption,01 year(s) 02 month(s) 07 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1210577922650716,True
1054,1210549210242215,A0058701597,L1,L1,,-,N,,,67,,Available,03 year(s) 02 month(s) 12 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1210549209641954,True
1062,1210517848062173,A0058682196,L1,L1,,-,S,,,50,,Priority,01 year(s) 08 month(s) 13 day(s),Dogs 306 A7,,,,,,,,,,,,,,,,,,,,False,1210517847884887,True
1126,1210324220102006,A0058529024,L1,L1,,-,S,,,63,,Available,04 year(s) 03 month(s) 05 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1210324248004030,True
1150,1210090252716777,A0058381553,L1,L1,,+,S,,,58,,Trial Adoption,04 year(s) 03 month(s) 29 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210090151533960,True
1164,1209933131508079,A0058262262,L2,L2 - SF,,-,S,,,67,,Available,05 year(s) 04 month(s) 17 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1209933196955664,True
1254,1208443576584434,A0056988473,L1,L1,,-,S,,,61,,Trial Adoption,02 year(s) 10 month(s) 23 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1208443576481658,True
1273,1207793537130194,A0056337146,L1,L1,,+,N,,,67,,Available,03 year(s) 01 month(s) 12 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1207793478405715,True
1372,1211145514780354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211145821532393,True
1388,1211134865749836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211134526884726,True
1398,1211134865464412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211134527800291,True
1407,1211131257585517,A0059226693,L2,L2-SF,,-,N,,,60,,Microchip,None,Dogs 303 A4,,,,,,,,,,,,,,,,,,,,False,1211131257383004,True
1433,1211128175253529,A0059218081,L1,L1,,-,F,,,7,,Available,02 year(s) 00 month(s) 03 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1211128175216464,True
1437,1211128449546341,A0059217339,L1,L1,,-,N,,,11,,Stray Wait,01 year(s) 00 month(s) 03 day(s),Dogs 502 C2,,,,,,,,,,,,,,,,,,,,False,1211128449503913,True
1439,1211128280570846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128449359598,True
1440,1211128175060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128280196759,True
1441,1211128449447386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128448755606,True
1443,1211128175064774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128449402880,True
1449,1211119510971974,A0059215210,L1,L1,,-,M,,,17,,Stray Wait,01 year(s) 06 month(s) 03 day(s),Dogs 064 A1,,,,,,,,,,,,,,,,,,,,False,1211119510230624,True
1450,1211119355610256,A0059211824,L1,L1,,-,M,,,7,,Microchip,04 year(s) 00 month(s) 04 day(s),Dogs 068 C1,,,,,,,,,,,,,,,,,,,,False,1211119631105947,True
1465,1211109320622660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211109218126892,True
1468,1211109320594520,A0059208023,L1,L1-RN,,-,M,,,26,,Identifying Info,04 year(s) 00 month(s) 04 day(s),Dogs 079 A5,,,,,,,,,,,,,,,,,,,,False,1211109348343235,True
1474,1211109320441433,A0059205432,L1,L1,,-,M,,,82,,Stray Wait,03 year(s) 00 month(s) 05 day(s),Dogs 401 8,,,,,,,,,,,,,,,,,,,,False,1211109320043250,True
1477,1211109350160094,A0059204484,L1,L1,,-,F,,,23,,Microchip,05 year(s) 00 month(s) 04 day(s),Dogs 079 A1,,,,,,,,,,,,,,,,,,,,False,1211109317897240,True
1483,1211109320114976,A0059196963,L1,L1,,-,F,,,42,,Adopted,01 year(s) 00 month(s) 05 day(s),Flex 85,,,,,,,,,,,,,,,,,,,,False,1211109219209280,True
1486,1211098092743189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211098025626941,True
1488,1211098117370728,A0059195704,L1,L1,,-,M,,,11,,Adopted,None,Clinic Clinic,,,,,,,,,,,,,,,,,,,,False,1211098025742263,True
1499,1211087277240450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211087329670730,True
1517,1211072250055284,A0059124885,L2,L2-BH,,-,S,,,16,,Adopted,05 year(s) 00 month(s) 08 day(s),Small Animals 4,,,,,,,,,,,,,,,,,,,,False,1211072316902710,True
1519,1211072316609034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211072316575068,True
1527,1211072316508187,A0053616553,L1,L1    A878732,,+,M,,,55,,Available,05 year(s) 07 month(s) 29 day(s),Dogs 506 B7,,,,,,,,,,,,,,,,,,,,False,1211072215101444,True
1534,1211069988702036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211070094978679,True
1539,1211069988629029,A0059116111,L2,L2-BH,,-,M,,,14,,Identifying Info,02 year(s) 00 month(s) 09 day(s),Clinic Clinic,,,,,,,,,,,,,,,,,,,,False,1211070094672196,True
1543,1211061539186923,A0059113762,L1,L1,,-,M,,,23,,Available,08 year(s) 00 month(s) 11 day(s),Foster Friendly Finder,,,,,,,,,,,,,,,,,,,,False,1211061578683231,True
1568,1211061447443397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211061447398961,True
1574,1211061447330166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211061537533787,True
1583,1211051636806290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211051749169623,True
1592,1211051784471597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211051782710092,True
1594,1211051748975541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211051634649849,True
1598,1211051635529856,A0059098188,L2,L2 - OA/JM/EA,,+,M,,,66,,Priority,01 year(s) 06 month(s) 12 day(s),Dogs 066 A6,,,,,,,,,,,,,,,,,,,,False,1211051633148409,True
1610,1211041339867987,A0059095126,L1,L1,,-,F,,,27,,Available,00 year(s) 07 month(s) 12 day(s),Dogs 068 B2,,,,,,,,,,,,,,,,,,,,False,1211041339424906,True
1613,1211041697566692,A0059090902,L1,L1,,+,F,,,34,,Adopted,00 year(s) 10 month(s) 12 day(s),Dogs 068 B5,,,,,,,,,,,,,,,,,,,,False,1211041348986255,True
1619,1211030183373926,A0059090073,L1,L1,,-,S,,,19,,Available,00 year(s) 04 month(s) 13 day(s),Dogs 602 C4,,,,,,,,,,,,,,,,,,,,False,1211030047918209,True
1622,1211030271854273,A0059088383,L1,L1,,-,M,,,10,,Stray Wait,01 year(s) 06 month(s) 07 day(s),Foster Friendly Finder,,,,,,,,,,,,,,,,,,,,False,1211030181259947,True
1644,1211014873971959,A0059076443,L1,L1,,-,F,,,75,,Available,05 year(s) 00 month(s) 16 day(s),Clinic Clinic,,,,,,,,,,,,,,,,,,,,False,1211015221633091,True
1658,1211003987053400,A0059069300,L1,L1,,-,N,,,51,,Priority,05 year(s) 00 month(s) 16 day(s),Dogs 306 B7,,,,,,,,,,,,,,,,,,,,False,1211004244300646,True
1673,1210993992006658,A0059056078,L1,L1,,-,N,,,37,,Available,00 year(s) 10 month(s) 19 day(s),Foster Friendly Finder,,,,,,,,,,,,,,,,,,,,False,1210993876289509,True
1677,1210993881147351,A0059055418,STAFF ONLY,STAFF ONLY,,-,N,,,57,,Cites,03 year(s) 00 month(s) 19 day(s),Dogs 201 1,,,,,,,,,,,,,,,,,,,,False,1210993881061650,True
1696,1210959845776815,A0053589757,L1,L1,,-,S,,,33,,Available,12 year(s) 07 month(s) 06 day(s),Receiving 129 K1,,,,,,,,,,,,,,,,,,,,False,1210959872571037,True
1702,1210956513545377,A0059032636,L1,L1,,-,M,,,11,,Available,04 year(s) 00 month(s) 23 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1210956513313521,True
1754,1210912261859675,A0058991484,L1,L1,,-,N,,,40,,Available,00 year(s) 10 month(s) 29 day(s),Dogs 501 6,,,,,,,,,,,,,,,,,,,,False,1210912476507890,True
1760,1210894317709477,A0058981944,L2,L2-SF,,-,F,,,29,,Available,00 year(s) 07 month(s) 30 day(s),Dog Quarantine B1,,,,,,,,,,,,,,,,,,,,False,1210894044159700,True
1779,1210875313876932,A0058955017,L1,L1,,-,N,,,53,,Available,00 year(s) 10 month(s) 02 day(s),Dogs 603 A2,,,,,,,,,,,,,,,,,,,,False,1210875370727429,True
1797,1210842375376822,A0058945418,L1,L1,,-,S,,,37,,Trial Adoption,01 year(s) 01 month(s) 04 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210842373693941,True
1802,1210838875635625,A0058943248,L1,L1,,-,M,,,40,,Available,01 year(s) 01 month(s) 05 day(s),Dogs 406 B7,,,,,,,,,,,,,,,,,,,,False,1210838770392391,True
1823,1210807087631419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210807086917174,True
1833,1210769910704888,A0058786151,L2,L2 - SF,,+,F,,,49,,Priority,03 year(s) 01 month(s) 14 day(s),Dogs 402 3,,,,,,,,,,,,,,,,,,,,False,1210769774447610,True
1841,1210748243684679,A0058866574,L1,L1,,-,S,,,23,,Trial Adoption,00 year(s) 08 month(s) 16 day(s),Foster Trial Adoption,,,,,,,,,,,,,,,,,,,,False,1210747946863574,True
1845,1210748243303087,A0058855570,L1,L1,,-,N,,,51,,Available,01 year(s) 00 month(s) 17 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1210748020560897,True
1855,1210736934303213,A0058853970,L1,L1,,-,M,,,53,,Priority,04 year(s) 01 month(s) 18 day(s),Dogs 401 4,,,,,,,,,,,,,,,,,,,,False,1210736934231104,True
1862,1210721740362767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721775147162,True
1863,1210721775177070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721860145270,True
1864,1210721740359757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721860037921,True
1865,1210721775167956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721774881880,True
1867,1210721775173440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1210721775147095,True
1869,1210721775070277,A0058835144,L1,L1,,+,N,,,29,,Available,04 year(s) 01 month(s) 19 day(s),Dog Quarantine A7,,,,,,,,,,,,,,,,,,,,False,1210721859988405,True
