,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed,parent gid,parent completed
1457,1211119355406606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1471,1211109219557945,A0059205673,STAFF ONLY,STAFF ONLY,,+,F,,,0,,Stray Wait,None,Dogs 203 6,,,,,,,,,,,,,,,,,,,,False,,
1530,1211069988771769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1531,1211070040005313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1535,1211070039938745,A0059117681,L2,L2-BH,,+,S,,,8,,Available,14 year(s) 00 month(s) 02 day(s),Dog Intake 128.02,,,,,,,,,,,,,,,,,,,,False,,
1577,1211051750229245,A0059101335,STAFF ONLY,STAFF ONLY,,-,M,,,52,,Pending Behavior Assessment,01 year(s) 06 month(s) 11 day(s),Dogs 203 1,,,,,,,,,,,,,,,,,,,,False,,
1593,1211051635792142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1623,1211030183373117,A0059089540,L3,L3-SF/BR,,-,F,,,68,,Priority,03 year(s) 00 month(s) 13 day(s),Dogs 502 2,,,,,,,,,,,,,,,,,,,,False,,
1732,1210934206946397,A0058999821,STAFF ONLY,STAFF ONLY,,-,M,,,47,,Pending Behavior Assessment,02 year(s) 00 month(s) 27 day(s),Dogs 203 2,,,,,,,,,,,,,,,,,,,,False,,
1796,1210842309965240,A0058943550,L2,L2 - RG/BR,,-,N,,,46,,Priority,08 year(s) 01 month(s) 05 day(s),Dogs 501 5,,,,,,,,,,,,,,,,,,,,False,,
1829,1210807087414324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1870,1210721775069522,A0058843976,STAFF ONLY,STAFF ONLY,,-,F,,,67,,Bite Quarantine - Not Visible,05 year(s) 01 month(s) 20 day(s),Dogs 203 8,,,,,,,,,,,,,,,,,,,,False,,
1877,1210692465331723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1994,1209969495241209,A0058294302,L1,L1,,-,S,,,59,,Available,02 year(s) 04 month(s) 13 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,,
